Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
26,LAC,2023-10-16,1,1,9,79,11,85,1,2,35.7,38.5,Mon,5,6,,DAL,L 17-20,18,2,12,4,14,5,35.7,2,1,50.0,342,1,9,79,11,85,20,164,2,2,2,2,2,0,272,61,4.46,61,5.61,1,30:08,3:08,20,5,12,3,13,5,38.5,2,1,50.0,2,2,2,1,1,0,0,0
27,LAC,2018-11-04,0,1,12,105,10,83,0,1,22.2,26.7,Sun,8,9,@,SEA,W 25-17,18,6,11,1,9,2,22.2,0,0,,356,1,12,105,10,83,22,188,2,2,2,2,1,0,375,50,7.50,75,4.75,0,24:19,3:06,25,11,10,4,15,4,26.7,3,3,100.0,4,3,1,1,0,1,0,0
28,SDG,2016-11-13,4,1,4,29,11,81,1,1,54.5,40.0,Sun,10,10,,MIA,L 24-31,29,3,19,7,11,6,54.5,0,0,,337,1,4,29,11,81,15,110,4,4,4,1,1,0,379,71,5.34,50,6.74,4,32:59,3:20,17,5,11,1,10,4,40.0,0,0,,3,3,3,1,1,0,0,0
29,LAC,2017-10-29,1,0,10,77,6,80,0,4,30.0,47.4,Sun,8,8,@,NWE,L 13-21,16,5,10,1,10,3,30.0,1,1,100.0,414,0,10,77,6,80,16,157,1,1,1,6,4,1,349,52,6.71,82,5.05,1,23:01,2:59,27,5,19,3,19,9,47.4,1,1,100.0,2,1,1,1,0,1,0,0
30,LAC,2023-10-01,1,3,4,34,9,80,1,1,35.7,9.1,Sun,4,4,,LVR,W 24-17,16,7,6,3,14,5,35.7,2,1,50.0,264,3,4,34,9,80,13,114,2,2,2,1,1,0,305,63,4.84,69,3.83,1,27:09,3:04,22,7,12,3,11,1,9.1,3,3,100.0,3,3,3,1,1,0,0,0
31,SDG,2014-10-12,0,1,7,60,11,78,1,0,57.1,61.5,Sun,6,6,@,OAK,W 31-28,24,7,15,2,14,8,57.1,1,0,0.0,396,1,7,60,11,78,18,138,4,4,4,1,0,0,423,69,6.13,54,7.33,0,37:02,3:08,17,5,11,1,13,8,61.5,0,0,,4,4,4,1,1,0,0,0
32,LAC,2021-10-10,1,0,6,49,7,77,0,2,46.2,33.3,Sun,5,5,,CLE,W 47-42,27,9,14,4,13,6,46.2,3,3,100.0,531,0,6,49,7,77,13,126,5,4,4,2,2,0,493,68,7.25,68,7.81,1,23:32,3:21,25,10,12,3,12,4,33.3,3,1,33.3,7,5,3,0,0,2,1,0
33,LAC,2021-09-19,2,1,12,99,8,76,3,2,41.7,60.0,Sun,2,2,,DAL,L 17-20,24,7,13,4,12,5,41.7,1,1,100.0,419,1,12,99,8,76,20,175,2,2,2,2,2,0,408,62,6.58,60,6.98,2,30:57,2:53,25,11,13,1,10,6,60.0,1,0,0.0,1,0,0,4,3,1,1,0
34,SDG,2015-09-20,3,2,8,64,9,75,2,1,36.4,40.0,Sun,2,2,@,CIN,L 19-24,19,6,12,1,11,4,36.4,0,0,,389,2,8,64,9,75,17,139,3,3,3,2,1,0,354,56,6.32,62,6.27,3,30:09,3:06,20,9,8,3,10,4,40.0,0,0,,2,1,1,3,2,1,0,0
35,SDG,2014-10-19,1,0,4,49,7,73,2,3,30.0,50.0,Sun,7,7,,KAN,L 20-23,19,5,11,3,10,3,30.0,0,0,,365,0,4,49,7,73,11,122,2,2,2,3,3,0,251,49,5.12,70,5.21,1,21:00,3:04,22,7,12,3,14,7,50.0,0,0,,2,2,2,2,2,0,0,0
36,SDG,2015-12-20,2,1,7,48,9,72,1,0,64.3,14.3,Sun,14,15,,MIA,W 30-14,26,7,16,3,14,9,64.3,0,0,,231,1,7,48,9,72,16,120,2,2,2,0,0,0,442,73,6.05,56,4.13,2,38:53,3:16,13,4,8,1,14,2,14.3,3,3,100.0,4,4,3,2,1,0,0,0
37,SDG,2014-10-23,2,0,7,77,9,71,0,0,40.0,61.5,Thu,8,8,@,DEN,L 21-35,22,3,15,4,10,4,40.0,1,1,100.0,425,0,7,77,9,71,16,148,5,5,5,1,0,0,306,58,5.28,65,6.54,2,29:14,3:05,27,9,14,4,13,8,61.5,0,0,,3,3,3,0,0,0,0,0
38,SDG,2014-12-14,2,0,8,65,7,71,1,5,46.2,25.0,Sun,14,15,,DEN,L 10-22,20,3,13,4,13,6,46.2,0,0,,337,0,8,65,7,71,15,136,1,1,1,5,5,0,288,61,4.72,61,5.52,2,27:16,3:06,18,4,10,4,12,3,25.0,0,0,,1,1,1,3,1,0,0,0
39,LAC,2017-12-16,4,0,9,61,7,71,0,3,36.4,42.9,Sat,14,15,@,KAN,L 13-30,20,7,11,2,11,4,36.4,2,1,50.0,397,0,9,61,7,71,16,132,3,3,3,4,3,0,307,60,5.12,63,6.30,4,26:39,3:09,20,9,7,4,14,6,42.9,1,1,100.0,2,2,1,0,0,0,0,0
40,LAC,2019-09-15,2,2,9,70,8,71,1,0,46.2,40.0,Sun,2,2,@,DET,L 10-13,21,6,13,2,13,6,46.2,0,0,,339,2,9,70,8,71,17,141,2,2,1,1,0,0,424,62,6.84,58,5.84,2,31:19,2:55,19,6,12,1,10,4,40.0,1,1,100.0,1,1,1,3,1,0,0,0
41,SDG,2014-12-07,1,2,8,61,6,70,0,3,30.8,43.8,Sun,13,14,,NWE,L 14-23,13,2,8,3,13,4,30.8,1,0,0.0,397,2,8,61,6,70,14,131,2,2,2,3,3,0,216,54,4.00,73,5.44,1,25:27,3:06,24,6,13,5,16,7,43.8,0,0,,2,2,2,0,0,0,0,0
42,SDG,2016-10-23,2,1,3,14,9,70,4,3,56.3,50.0,Sun,7,7,@,ATL,W 33-30 (OT),26,6,19,1,16,9,56.3,1,1,100.0,386,1,3,14,9,70,12,84,3,3,3,4,3,0,426,75,5.68,63,6.13,2,35:29,3:31,21,8,13,0,12,6,50.0,1,0,0.0,3,3,3,4,4,0,0,0
43,LAC,2020-11-01,2,1,6,67,8,70,3,1,43.8,38.5,Sun,7,8,@,DEN,L 30-31,28,10,15,3,16,7,43.8,1,0,0.0,351,1,6,67,8,70,14,137,4,4,4,1,1,0,485,84,5.77,59,5.95,2,35:53,3:27,17,3,11,3,13,5,38.5,0,0,,3,3,3,3,3,0,0,0
44,LAC,2021-12-26,3,0,5,49,10,70,3,2,66.7,69.2,Sun,15,16,@,HOU,L 29-41,25,3,19,3,9,6,66.7,0,0,,437,0,5,49,10,70,15,119,5,5,5,3,2,0,417,57,7.32,64,6.83,3,25:08,2:56,26,9,14,3,13,9,69.2,0,0,,3,0,0,3,3,3,1,0
45,LAC,2020-12-17,0,1,3,20,6,69,1,2,58.3,38.5,Thu,14,15,@,LVR,W 30-27 (OT),27,6,16,5,12,7,58.3,0,0,,449,1,3,20,6,69,9,89,3,3,3,2,2,0,402,62,6.48,75,5.99,0,31:00,3:18,27,13,13,1,13,5,38.5,4,4,100.0,4,3,3,3,1,0,0,0
