Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
47,IND,2016-12-24,3,0,4,22,10,93,1,0,50.0,60.0,Sat,15,16,@,OAK,L 25-33,20,5,14,1,8,4,50.0,1,0,0.0,463,0,4,22,10,93,14,115,5,5,3,0,0,0,390,53,7.36,72,6.43,3,23:55,3:04,27,9,16,2,15,9,60.0,0,0,,3,2,2,1,1,1,1,0
48,IND,2017-01-01,2,2,4,35,8,54,1,2,20.0,28.6,Sun,16,17,,JAX,W 24-20,24,4,18,2,10,2,20.0,1,1,100.0,470,2,4,35,8,54,12,89,2,2,2,4,2,0,384,67,5.73,71,6.62,2,30:24,3:06,23,7,15,1,14,4,28.6,0,0,,3,3,3,2,1,0,0,0
49,IND,2017-09-10,3,1,4,20,7,50,1,3,0.0,35.7,Sun,1,1,@,LAR,L 9-46,10,3,6,1,10,0,0.0,1,0,0.0,373,1,4,20,7,50,11,70,5,5,5,3,3,1,225,49,4.59,64,5.83,3,25:35,2:59,19,5,13,1,14,5,35.7,0,0,,1,1,0,2,1,0,0,0
50,IND,2017-09-17,1,1,8,70,6,41,2,3,44.4,40.0,Sun,2,2,,ARI,L 13-16 (OT),18,6,11,1,18,8,44.4,0,0,,389,1,8,70,6,41,14,111,1,1,1,4,3,0,266,70,3.80,65,5.98,1,33:09,3:16,17,2,14,1,15,6,40.0,1,0,0.0,1,1,1,2,2,0,0,0
51,IND,2017-09-24,1,3,11,99,10,113,1,0,47.1,38.5,Sun,3,3,,CLE,W 31-28,16,6,7,3,17,8,47.1,0,0,,346,3,11,99,10,113,21,212,4,4,4,0,0,0,335,63,5.32,69,5.01,1,33:27,3:18,25,7,13,5,13,5,38.5,0,0,,4,4,4,1,1,0,0,0
52,IND,2017-10-01,2,2,5,31,6,45,1,1,42.9,66.7,Sun,4,4,@,SEA,L 18-46,16,6,8,2,14,6,42.9,0,0,,477,2,5,31,6,45,11,76,6,5,5,2,1,0,237,57,4.16,62,7.69,2,27:48,3:14,22,9,11,2,15,10,66.7,1,1,100.0,2,1,1,1,1,1,0,1
53,IND,2017-10-08,1,0,7,62,10,77,4,3,50.0,28.6,Sun,5,5,,SFO,W 26-23 (OT),25,9,14,2,16,8,50.0,0,0,,402,0,7,62,10,77,17,139,2,2,2,3,3,0,447,73,6.12,70,5.74,1,37:17,3:32,23,3,19,1,14,4,28.6,2,2,100.0,2,2,2,4,4,0,0,0
54,IND,2017-10-16,1,1,5,51,4,45,3,5,22.2,46.2,Mon,6,6,@,TEN,L 22-36,18,3,13,2,9,2,22.2,1,0,0.0,473,1,5,51,4,45,9,96,3,3,3,5,5,0,297,57,5.21,67,7.06,1,24:07,3:12,25,7,15,3,13,6,46.2,1,1,100.0,2,2,1,3,3,0,0,0
55,IND,2017-10-22,0,2,5,55,4,34,0,2,33.3,57.1,Sun,7,7,,JAX,L 0-27,15,5,10,0,15,5,33.3,3,0,0.0,518,2,5,55,4,34,9,89,3,3,3,2,2,0,232,67,3.46,65,7.97,0,27:13,2:55,23,6,14,3,14,8,57.1,1,0,0.0,0,0,0,0,0,0,0,0
56,IND,2017-10-29,1,2,7,45,5,54,3,1,50.0,36.4,Sun,8,8,@,CIN,L 23-24,19,6,12,1,16,8,50.0,1,0,0.0,276,2,7,45,5,54,12,99,3,3,3,2,1,0,331,71,4.66,53,5.21,1,33:13,3:11,17,5,10,2,11,4,36.4,0,0,,2,2,2,3,3,0,0,0
