Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
29,MIN,2015-12-10,3,0,3,25,4,30,2,3,54.5,46.2,Thu,13,14,@,ARI,L 20-23,23,4,17,2,11,6,54.5,0,0,,393,0,3,25,4,30,7,55,2,2,2,3,3,0,389,63,6.17,66,5.95,3,28:01,2:59,22,6,16,0,13,6,46.2,1,1,100.0,2,2,2,2,2,0,0,0
30,MIN,2015-12-20,0,2,4,45,6,39,1,1,66.7,41.7,Sun,14,15,,CHI,W 38-17,20,8,10,2,12,8,66.7,0,0,,293,2,4,45,6,39,10,84,2,2,2,1,1,0,350,57,6.14,62,4.73,0,32:10,2:50,21,7,13,1,12,5,41.7,1,1,100.0,5,5,5,1,1,0,0,0
31,MIN,2015-12-27,0,3,2,10,7,48,5,1,37.5,9.1,Sun,15,16,,NYG,W 49-17,17,7,9,1,16,6,37.5,0,0,,363,3,2,10,7,48,9,58,2,2,2,1,1,0,368,68,5.41,58,6.26,0,34:57,3:08,15,3,11,1,11,1,9.1,2,0,0.0,5,5,4,5,5,0,0,0
32,MIN,2016-01-03,2,2,5,37,7,54,2,2,18.2,13.3,Sun,16,17,@,GNB,W 20-13,14,6,5,3,11,2,18.2,1,1,100.0,350,2,5,37,7,54,12,91,1,1,1,2,2,0,242,49,4.94,75,4.67,2,24:18,3:06,19,5,13,1,15,2,13.3,6,3,50.0,2,2,2,2,2,0,0,0
33,MIN,2016-09-11,0,3,3,39,2,10,4,1,42.9,57.1,Sun,1,1,@,TEN,W 25-16,15,3,12,0,14,6,42.9,0,0,,316,3,3,39,2,10,5,49,2,1,1,1,1,0,301,61,4.93,65,4.86,0,29:35,2:57,19,2,16,1,14,8,57.1,0,0,,2,2,1,6,4,0,0,0
34,MIN,2016-09-18,1,3,13,137,6,72,1,0,28.6,46.2,Sun,2,2,,GNB,W 17-14,15,2,11,2,14,4,28.6,2,1,50.0,263,3,13,137,6,72,19,209,2,2,2,0,0,0,284,57,4.98,64,4.11,1,30:18,3:12,20,5,10,5,13,6,46.2,1,0,0.0,2,2,2,1,1,0,0,0
35,MIN,2016-09-25,0,3,6,42,10,65,2,1,25.0,37.5,Sun,3,3,@,CAR,W 22-10,13,2,11,0,12,3,25.0,0,0,,306,3,6,42,10,65,16,107,1,1,1,2,1,0,211,54,3.91,72,4.25,0,25:08,3:05,18,6,10,2,16,6,37.5,2,0,0.0,2,1,0,2,2,1,1,1
36,MIN,2016-10-03,0,2,6,37,8,69,1,1,50.0,16.7,Mon,4,4,,NYG,W 24-10,22,6,14,2,16,8,50.0,0,0,,339,2,6,37,8,69,14,106,1,1,1,1,1,0,366,69,5.30,63,5.38,0,35:32,2:54,18,6,9,3,12,2,16.7,2,0,0.0,3,3,3,2,1,0,0,0
37,MIN,2016-10-09,0,1,9,97,4,15,1,2,50.0,7.7,Sun,5,5,,HOU,W 31-13,22,8,13,1,14,7,50.0,0,0,,214,1,9,97,4,15,13,112,1,1,1,3,2,0,351,69,5.09,60,3.57,0,37:28,3:01,16,4,8,4,13,1,7.7,1,0,0.0,4,4,4,1,1,0,0,0
38,MIN,2016-10-23,4,4,7,56,7,53,1,2,47.4,36.4,Sun,6,7,@,PHI,L 10-21,18,5,11,2,19,9,47.4,3,1,33.3,239,4,7,56,7,53,14,109,2,1,1,2,2,0,282,74,3.81,54,4.43,4,32:08,3:09,15,5,9,1,11,4,36.4,1,1,100.0,1,1,1,1,1,0,0,0
39,MIN,2016-10-31,0,0,1,10,2,20,1,2,15.4,50.0,Mon,7,8,@,CHI,L 10-20,15,1,13,1,13,2,15.4,2,2,100.0,403,0,1,10,2,20,3,30,2,2,2,2,2,0,258,60,4.30,61,6.61,0,27:19,2:56,19,7,12,0,14,7,50.0,0,0,,1,1,1,1,1,0,0,0
40,MIN,2016-11-06,0,1,8,54,6,57,1,3,42.9,50.0,Sun,8,9,,DET,L 16-22 (OT),22,7,13,2,14,6,42.9,2,1,50.0,311,1,8,54,6,57,14,111,2,1,1,3,3,0,337,67,5.03,62,5.02,0,33:08,3:09,18,3,12,3,14,7,50.0,0,0,,2,2,1,2,1,0,0,0
41,MIN,2016-11-13,1,1,4,35,4,35,0,4,45.5,50.0,Sun,9,10,@,WAS,L 20-26,22,4,16,2,11,5,45.5,1,0,0.0,388,1,4,35,4,35,8,70,2,2,2,4,4,0,331,64,5.17,62,6.26,1,30:04,2:52,23,6,17,0,12,6,50.0,0,0,,3,3,2,0,0,0,0,0
42,MIN,2016-11-20,1,2,10,73,8,96,1,1,46.2,30.8,Sun,10,11,,ARI,W 30-24,16,4,7,5,13,6,46.2,1,0,0.0,290,2,10,73,8,96,18,169,3,3,3,1,1,0,217,54,4.02,70,4.14,1,28:58,3:11,24,8,12,4,13,4,30.8,1,0,0.0,4,4,3,1,1,0,0,0
