Home Team Name,Away Team Name,Winner,Home Team Total Yards,Away Team Total Yards,Home Team Turnovers,Away Team Turnovers
Detroit Lions,Chicago Bears,0,239,378,1,1
Dallas Cowboys,Las Vegas Raiders,0,437,509,0,0
New Orleans Saints,Buffalo Bills,0,190,361,1,2
Jacksonville Jaguars,Atlanta Falcons,0,357,332,2,1
Cincinnati Bengals,Pittsburgh Steelers,1,370,301,1,3
Houston Texans,New York Jets,0,202,266,1,1
New York Giants,Philadelphia Eagles,1,264,332,0,4
Miami Dolphins,Carolina Panthers,1,315,198,1,3
Indianapolis Colts,Tampa Bay Buccaneers,0,392,359,5,2
New England Patriots,Tennessee Titans,1,394,355,0,4
Denver Broncos,Los Angeles Chargers,1,302,357,1,2
San Francisco 49ers,Minnesota Vikings,1,423,323,1,2
Green Bay Packers,Los Angeles Rams,1,399,353,1,3
Baltimore Ravens,Cleveland Browns,1,303,262,4,2
Washington Football Team,Seattle Seahawks,1,371,267,1,1
New Orleans Saints,Dallas Cowboys,0,405,377,4,1
Atlanta Falcons,Tampa Bay Buccaneers,0,380,425,1,1
Chicago Bears,Arizona Cardinals,0,329,257,4,0
Cincinnati Bengals,Los Angeles Chargers,0,356,363,4,3
Detroit Lions,Minnesota Vikings,1,372,426,2,1
New York Jets,Philadelphia Eagles,0,281,418,1,0
Houston Texans,Indianapolis Colts,0,141,389,2,1
Miami Dolphins,New York Giants,1,297,250,0,1
Seattle Seahawks,San Francisco 49ers,1,327,365,3,3
Las Vegas Raiders,Washington Football Team,0,310,298,0,1
Los Angeles Rams,Jacksonville Jaguars,1,418,197,0,2
Pittsburgh Steelers,Baltimore Ravens,1,321,326,0,1
Kansas City Chiefs,Denver Broncos,1,267,404,1,3
Buffalo Bills,New England Patriots,0,230,241,1,1
Minnesota Vikings,Pittsburgh Steelers,1,458,375,2,1
Carolina Panthers,Atlanta Falcons,0,334,318,3,1
Cincinnati Bengals,San Francisco 49ers,0,397,355,2,0
Cleveland Browns,Baltimore Ravens,1,290,389,1,2
Washington Football Team,Dallas Cowboys,0,224,323,4,2
Houston Texans,Seattle Seahawks,0,380,453,0,0
Tennessee Titans,Jacksonville Jaguars,1,263,192,0,4
Kansas City Chiefs,Las Vegas Raiders,1,372,290,0,5
New York Jets,New Orleans Saints,0,256,344,0,0
