Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
41,TEN,2016-11-06,313,3,80,2,3,268,208,23:31,Sun,9,9,@,SDG,L 35-43,27,43,16,62.8,313,3,2,7.0,4.7,88.6,0,0,0.00,7.3,7.28,6.58,6.58,11.6,39,208,5.3,1,24,33,72.7,268,2,1,7,0,116.7,19,80,4.2,2,393,62,6.34,73,6.52,3,23:31,3:20
42,TEN,2016-11-13,292,5,154,1,0,333,69,29:31,Sun,10,10,,GNB,W 47-25,20,27,7,74.1,292,5,0,18.5,0.0,150.5,1,13,3.57,10.8,10.43,14.52,14.00,14.6,13,69,5.3,1,32,55,58.2,333,2,5,46,2,72.8,31,154,5.0,1,446,59,7.56,73,5.51,0,29:31,3:36
43,TEN,2016-11-20,254,2,97,0,0,251,76,31:01,Sun,11,11,@,IND,L 17-24,25,38,13,65.8,254,2,0,5.3,0.0,106.2,5,36,11.63,6.7,5.91,7.74,6.84,10.2,28,76,2.7,1,15,28,53.6,251,2,2,11,1,93.0,27,97,3.6,0,351,70,5.01,58,5.64,0,31:01,3:08
44,TEN,2016-11-27,226,2,149,1,0,316,95,29:25,Sun,12,12,@,CHI,W 27-21,15,23,8,65.2,226,2,0,8.7,0.0,126.4,0,0,0.00,9.8,9.83,11.57,11.57,15.1,22,95,4.3,0,28,54,51.9,316,3,0,0,2,72.8,29,149,5.1,1,375,52,7.21,76,5.41,0,29:25,3:08
45,TEN,2016-12-11,73,0,180,1,0,330,18,32:27,Sun,13,14,,DEN,W 13-10,6,21,15,28.6,73,0,0,0.0,0.0,44.5,2,15,8.70,3.5,3.17,3.48,3.17,12.2,9,18,2.0,0,36,52,69.2,330,1,3,20,0,92.6,42,180,4.3,1,253,65,3.89,64,5.44,0,32:27,3:02
46,TEN,2016-12-18,241,0,148,2,3,159,157,30:35,Sun,14,15,@,KAN,W 19-17,19,33,14,57.6,241,0,1,0.0,3.0,67.9,1,0,2.94,7.3,7.09,5.94,5.76,12.7,28,157,5.6,2,15,28,53.6,159,0,1,4,1,55.5,29,148,5.1,2,389,63,6.17,57,5.54,3,30:35,3:04
47,TEN,2016-12-24,205,2,58,0,1,331,84,27:29,Sat,15,16,@,JAX,L 17-38,21,44,23,47.7,205,2,1,4.5,2.3,68.7,3,18,6.38,4.7,4.36,4.55,4.26,9.8,28,84,3.0,1,27,39,69.2,331,2,2,14,0,112.2,20,58,2.9,0,263,67,3.93,69,6.01,1,27:29,3:07
48,TEN,2017-01-01,133,1,103,1,1,243,46,30:52,Sun,16,17,,HOU,W 24-17,16,26,10,61.5,133,1,1,3.8,3.8,74.2,4,17,13.33,5.1,4.43,4.15,3.60,8.3,22,46,2.1,1,26,48,54.2,243,1,4,35,0,75.3,29,103,3.6,1,236,59,4.00,74,3.91,1,30:52,3:11
49,TEN,2017-09-10,255,0,95,1,0,250,109,28:21,Sun,1,1,,OAK,L 16-26,25,41,16,61.0,255,0,0,0.0,0.0,78.9,1,1,2.38,6.2,6.07,6.22,6.07,10.2,29,109,3.8,0,22,32,68.8,250,2,2,12,0,112.8,21,95,4.5,1,350,63,5.56,63,5.70,0,28:21,2:59
50,TEN,2017-09-17,211,1,179,3,1,211,99,30:46,Sun,2,2,@,JAX,W 37-16,15,27,12,55.6,211,1,1,3.7,3.7,78.5,1,4,3.57,7.8,7.54,6.89,6.64,14.1,25,99,4.0,1,20,34,58.8,211,1,2,12,2,62.3,36,179,5.0,3,390,64,6.09,61,5.08,1,30:46,3:02
