Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rusing Yards per Attempt,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
89,DET,2019-11-10,259,1,98,0,1,145,81,31:54,Sun,9,10,@,CHI,L 13-20,27,46,19,58.7,1,1,2.2,2.2,73.6,2,10,4.17,5.6,5.40,5.09,4.88,9.6,24,3.4,0,16,23,69.6,3,5,28,0,125.9,27,3.6,357,75,4.76,52,4.35,1,3:07
90,DET,2019-11-17,191,2,121,2,0,434,75,29:06,Sun,10,11,,DAL,L 27-35,15,26,11,57.7,2,0,7.7,0.0,109.3,3,18,10.34,7.3,6.59,8.88,7.97,12.7,24,3.1,1,29,46,63.0,3,1,10,0,115.7,28,4.3,312,57,5.47,71,7.17,0,3:14
91,DET,2019-11-24,189,1,175,0,4,144,86,33:30,Sun,11,12,@,WAS,L 16-19,20,33,13,60.6,1,3,3.0,9.1,50.9,6,18,15.38,5.7,4.85,2.24,1.90,9.5,24,3.6,0,13,30,43.3,0,3,12,1,44.3,32,5.5,364,71,5.13,57,4.04,4,3:15
92,DET,2019-11-28,259,2,105,0,1,331,88,29:10,Thu,12,13,,CHI,L 20-24,22,38,16,57.9,2,1,5.3,2.6,87.6,2,21,5.00,6.8,6.48,6.68,6.35,11.8,23,3.8,0,29,38,76.3,3,1,7,1,117.3,27,3.9,364,67,5.43,62,6.76,1,3:23
93,DET,2019-12-08,161,1,70,0,2,234,120,26:17,Sun,13,14,@,MIN,L 7-20,24,40,16,60.0,1,2,2.5,5.0,60.9,5,44,11.11,4.0,3.58,2.28,2.02,6.7,39,3.1,1,24,30,80.0,1,1,8,0,110.3,22,3.2,231,67,3.45,70,5.06,2,3:07
94,DET,2019-12-15,250,0,45,2,3,446,49,26:41,Sun,14,15,,TAM,L 17-38,24,43,19,55.8,0,2,0.0,4.7,54.4,2,10,4.44,5.8,5.56,3.72,3.56,10.4,29,1.7,0,28,42,66.7,4,2,12,1,123.7,18,2.5,295,63,4.68,73,6.78,3,3:14
95,DET,2019-12-22,95,1,96,0,0,198,150,23:52,Sun,15,16,@,DEN,L 17-27,12,24,12,50.0,1,0,4.2,0.0,78.0,4,22,14.29,4.0,3.39,4.79,4.11,7.9,33,4.5,2,26,34,76.5,1,0,0,0,99.9,21,4.6,191,49,3.90,67,5.19,0,2:54
96,DET,2019-12-29,134,1,171,1,1,312,120,25:04,Sun,16,17,,GNB,L 20-23,13,30,17,43.3,1,1,3.3,3.3,55.0,1,7,3.23,4.5,4.32,3.63,3.52,10.3,30,4.0,0,27,55,49.1,2,1,11,1,71.2,25,6.8,305,56,5.45,86,5.02,1,3:20
97,DET,2020-09-13,288,1,138,1,1,214,149,30:55,Sun,1,1,,CHI,L 23-27,24,42,18,57.1,1,1,2.4,2.4,77.2,1,9,2.33,6.9,6.70,6.26,6.12,12.0,28,5.3,0,20,36,55.6,3,1,28,0,100.9,29,4.8,426,72,5.92,65,5.58,1,3:16
98,DET,2020-09-20,218,2,89,1,1,229,259,25:14,Sun,2,2,@,GNB,L 21-42,20,33,13,60.6,2,1,6.1,3.0,91.0,4,26,10.81,6.6,5.89,6.45,5.76,10.9,35,7.4,2,18,30,60.0,2,1,11,0,106.1,21,4.2,307,58,5.29,66,7.39,1,3:07
