Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
11,SDG,2014-11-23,282,1,128,1,3,210,107,31:09,Sun,11,12,,STL,W 27-24,29,35,6,82.9,282,1,1,2.9,2.9,98.9,3,9,7.89,8.1,7.42,7.34,6.76,9.7,24,107,4.5,1,19,36,52.8,210,1,1,7,2,56.5,22,128,5.8,1,410,60,6.83,61,5.20,3,31:09,3:11
12,SDG,2014-11-30,376,3,64,1,2,225,125,29:49,Sun,12,13,@,BAL,W 34-33,34,45,11,75.6,376,3,1,6.7,2.2,113.5,2,7,4.26,8.4,8.00,8.69,8.32,11.1,32,125,3.9,1,19,31,61.3,225,2,0,0,0,104.9,18,64,3.6,1,440,65,6.77,63,5.56,2,29:49,3:24
13,SDG,2014-12-07,163,1,53,0,1,310,87,25:27,Sun,13,14,,NWE,L 14-23,20,33,13,60.6,163,1,1,3.0,3.0,73.9,4,26,10.81,4.9,4.41,4.18,3.73,8.2,28,87,3.1,0,28,44,63.6,310,2,1,7,1,90.2,17,53,3.1,0,216,54,4.00,73,5.44,1,25:27,3:06
14,SDG,2014-12-14,232,1,56,0,2,226,111,27:16,Sun,14,15,,DEN,L 10-22,24,41,17,58.5,232,1,2,2.4,4.9,62.2,0,0,0.00,5.7,5.66,3.95,3.95,9.7,38,111,2.9,0,14,22,63.6,226,1,1,7,0,113.1,20,56,2.8,0,288,61,4.72,61,5.52,2,27:16,3:06
15,SDG,2014-12-20,348,4,98,0,3,92,355,34:19,Sat,15,16,@,SFO,W 38-35 (OT),33,54,21,61.1,348,4,3,7.4,5.6,82.0,2,8,3.57,6.4,6.21,5.43,5.23,10.5,40,355,8.9,3,15,24,62.5,92,1,2,22,0,84.0,24,98,4.1,0,446,80,5.58,66,6.77,3,34:19,3:51
16,SDG,2014-12-28,249,0,112,1,3,140,111,31:21,Sun,16,17,@,KAN,L 7-19,20,34,14,58.8,249,0,2,0.0,5.9,62.3,7,42,17.07,7.3,6.07,4.68,3.88,12.5,26,111,4.3,0,16,27,59.3,140,0,4,17,0,73.1,25,112,4.5,1,361,66,5.47,57,4.40,3,31:21,3:04
17,SDG,2015-09-13,387,2,96,2,3,233,69,38:12,Sun,1,1,,DET,W 33-28,34,41,7,82.9,387,2,2,4.9,4.9,103.6,2,16,4.65,9.4,9.00,8.22,7.84,11.4,16,69,4.3,1,19,30,63.3,233,2,1,13,2,81.7,31,96,3.1,2,483,74,6.53,47,6.43,3,38:12,3:03
18,SDG,2015-09-20,223,2,131,0,3,214,175,30:09,Sun,2,2,@,CIN,L 19-24,21,27,6,77.8,223,2,1,7.4,3.7,113.1,4,18,12.90,8.3,7.19,8.07,7.03,10.6,36,175,4.9,0,16,26,61.5,214,3,0,0,0,126.1,25,131,5.2,0,354,56,6.32,62,6.27,3,30:09,3:06
19,SDG,2015-09-27,279,2,90,0,2,121,163,33:29,Sun,3,3,@,MIN,L 14-31,26,40,14,65.0,279,2,1,5.0,2.5,94.7,4,30,9.09,7.0,6.34,6.85,6.23,10.7,31,163,5.3,3,13,24,54.2,121,0,0,0,1,50.9,28,90,3.2,0,369,72,5.13,55,5.16,2,33:29,3:00
20,SDG,2015-10-04,347,3,91,0,0,332,100,25:41,Sun,4,4,,CLE,W 30-27,23,38,15,60.5,347,3,0,7.9,0.0,118.1,2,11,5.00,9.1,8.68,10.71,10.18,15.1,21,100,4.8,0,32,41,78.0,332,2,4,24,0,116.7,21,91,4.3,0,438,61,7.18,66,6.55,0,25:41,3:15
