Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
151,BAL,2023-10-08,210,0,125,1,3,202,87,30:14,Sun,5,5,@,PIT,L 10-17,22,38,16,57.9,210,0,1,0.0,2.6,65.2,4,26,9.52,5.5,5.00,4.34,3.93,9.5,30,87,2.9,0,18,32,56.3,202,1,3,22,0,85.7,25,125,5.0,1,335,67,5.00,65,4.45,3,30:14,2:58
152,BAL,2023-10-15,221,1,139,0,1,104,129,35:42,Sun,6,6,@,TEN,W 24-16,21,30,9,70.0,221,1,1,3.3,3.3,88.6,1,2,3.23,7.4,7.13,6.53,6.32,10.5,19,129,6.8,1,12,21,57.1,104,0,6,46,1,50.5,39,139,3.6,0,360,70,5.14,46,5.07,1,35:42,3:09
153,BAL,2023-10-22,357,3,146,2,1,253,84,30:22,Sun,7,7,,DET,W 38-6,21,28,7,75.0,357,3,0,10.7,0.0,152.4,0,0,0.00,12.8,12.75,14.89,14.89,17.0,14,84,6.0,1,33,53,62.3,253,0,5,31,1,66.0,27,146,5.4,2,503,55,9.15,72,4.68,1,30:22,3:00
154,BAL,2023-10-29,138,1,130,3,0,181,129,29:39,Sun,8,8,@,ARI,W 31-24,18,27,9,66.7,138,1,0,3.7,0.0,94.2,4,19,12.90,5.1,4.45,5.85,5.10,7.7,32,129,4.0,1,25,37,67.6,181,2,2,27,2,74.3,29,130,4.5,3,268,60,4.47,71,4.37,0,29:39,3:10
155,BAL,2023-11-05,217,1,298,3,2,123,28,40:04,Sun,9,9,,SEA,W 37-3,26,33,7,78.8,217,1,0,3.0,0.0,105.2,1,8,2.94,6.6,6.38,7.18,6.97,8.3,15,28,1.9,0,13,28,46.4,123,0,4,34,1,44.2,41,298,7.3,3,515,75,6.87,47,3.21,2,40:04,2:58
156,BAL,2023-11-12,200,1,106,2,2,195,178,25:45,Sun,10,10,,CLE,L 31-33,13,23,10,56.5,200,1,2,4.3,8.7,67.8,3,23,11.54,8.7,7.69,5.65,5.00,15.4,36,178,4.9,1,20,35,57.1,195,1,4,18,1,70.5,24,106,4.4,2,306,50,6.12,75,4.97,2,25:45,3:22
157,BAL,2023-11-16,248,2,157,2,0,136,136,30:37,Thu,11,11,,CIN,W 34-20,16,26,10,61.5,248,2,0,7.7,0.0,121.3,3,16,10.34,9.5,8.55,11.08,9.93,15.5,23,136,5.9,0,19,31,61.3,136,2,5,33,0,92.9,31,157,5.1,2,405,60,6.75,59,4.61,0,30:37,3:08
158,BAL,2023-11-26,164,1,197,1,0,193,86,33:23,Sun,12,12,@,LAC,W 20-10,18,32,14,56.3,164,1,0,3.1,0.0,82.4,2,13,5.88,5.1,4.82,5.75,5.41,9.1,19,86,4.5,0,29,44,65.9,193,1,3,24,1,73.4,35,197,5.6,1,361,69,5.23,66,4.23,0,33:23,3:04
159,BAL,2023-12-10,310,3,139,0,1,282,128,27:43,Sun,13,14,,LAR,W 37-31 (OT),24,43,19,55.8,310,3,1,7.0,2.3,92.8,2,6,4.44,7.2,6.89,7.56,7.22,12.9,30,128,4.3,0,23,41,56.1,282,3,2,12,0,101.9,26,139,5.3,0,449,71,6.32,73,5.62,1,27:43,3:37
160,BAL,2023-12-17,145,1,251,1,1,258,75,34:19,Sun,14,15,@,JAX,W 23-7,14,24,10,58.3,145,1,1,4.2,4.2,76.9,3,26,11.11,6.0,5.37,5.00,4.44,10.4,17,75,4.4,0,25,43,58.1,258,1,1,6,0,83.3,42,251,6.0,1,396,69,5.74,61,5.46,1,34:19,3:03
161,BAL,2023-12-25,241,2,102,1,0,308,121,31:14,Mon,15,16,@,SFO,W 33-19,23,35,12,65.7,241,2,0,5.7,0.0,105.9,2,11,5.41,6.9,6.51,8.03,7.59,10.5,18,121,6.7,1,26,46,56.5,308,1,4,28,5,44.7,26,102,3.9,1,343,63,5.44,68,6.31,0,31:14,3:18
162,BAL,2023-12-31,331,6,160,2,1,221,154,30:23,Sun,16,17,,MIA,W 56-19,19,22,3,86.4,331,6,0,27.3,0.0,158.3,1,9,4.35,15.0,14.39,20.50,19.61,17.4,25,154,6.2,0,22,38,57.9,221,2,3,16,2,70.2,32,160,5.0,2,491,55,8.93,66,5.68,1,30:23,3:10
163,BAL,2024-01-06,118,1,106,0,2,134,155,25:06,Sat,17,18,,PIT,L 10-17,15,28,13,53.6,118,1,0,3.6,0.0,80.4,4,28,12.50,4.2,3.69,4.93,4.31,7.9,39,155,4.0,1,18,20,90.0,134,1,3,18,0,111.2,25,106,4.2,0,224,57,3.93,62,4.66,2,25:06,2:56
