Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
21,NYG,2015-10-11,441,3,84,0,1,256,124,31:58,Sun,5,5,,SFO,W 30-27,41,54,13,75.9,3,1,5.6,1.9,110.2,0,0,0.0,8.2,8.17,8.44,8.44,10.8,27,4.6,1,23,35,65.7,2,2,6,0,106.4,21,525,75,7.0,64,5.94,1,3:05,0,6,65,4,28,3,2,64.3,57.1,30,6,23,1,14,9,64.3,0,0,,380,0,6,65,4,28,10,93,3,3,3,2,2,0,525,75,7.0,64,5.94,1,3:05,22,8,11,3,14,8,57.1,0,0,,3,3,3,3,3,0,0,0
22,NYG,2015-10-19,166,1,81,0,3,270,158,29:30,Mon,6,6,@,PHI,L 7-27,24,38,14,63.2,1,2,2.6,5.3,62.3,3,23,7.32,4.4,4.05,2.53,2.34,6.9,37,4.3,1,24,38,63.2,1,1,10,3,60.2,23,247,64,3.86,76,5.63,3,3:05,4,12,92,9,72,0,2,30.8,37.5,18,3,11,4,13,4,30.8,1,0,0.0,428,4,12,92,9,72,21,164,3,3,3,2,2,0,247,64,3.86,76,5.63,3,3:05,24,10,11,3,16,6,37.5,0,0,,1,1,1,0,0,0,0,0
23,NYG,2015-10-25,157,0,132,1,0,227,233,21:56,Sun,7,7,,DAL,W 27-20,13,24,11,54.2,0,0,0.0,0.0,76.7,2,13,7.69,6.5,6.04,6.54,6.04,12.1,41,5.7,1,17,27,63.0,1,1,0,3,62.3,25,289,51,5.67,69,6.67,0,2:55,4,3,13,7,46,2,2,27.3,54.5,13,4,7,2,11,3,27.3,0,0,,460,4,3,13,7,46,10,59,2,2,2,2,2,0,289,51,5.67,69,6.67,0,2:55,27,14,10,3,11,6,54.5,1,0,0.0,3,3,3,2,2,0,0,0
24,NYG,2015-11-01,329,6,87,0,1,505,103,25:01,Sun,8,8,@,NOR,L 49-52,30,41,11,73.2,6,0,14.6,0.0,138.2,3,21,6.82,8.0,7.48,10.95,10.2,11.0,26,4.0,0,39,50,78.0,7,0,0,2,131.7,21,416,65,6.4,76,8.0,1,3:33,2,6,53,12,93,0,1,12.5,63.6,28,5,16,7,8,1,12.5,2,2,100.0,608,2,6,53,12,93,18,146,7,7,7,1,1,0,416,65,6.4,76,8.0,1,3:33,35,10,24,1,11,7,63.6,1,1,100.0,7,7,7,0,0,0,0,0
25,NYG,2015-11-08,213,2,114,0,2,247,136,34:55,Sun,9,9,@,TAM,W 32-18,26,40,14,65.0,2,2,5.0,5.0,74.3,0,0,0.0,5.3,5.33,4.08,4.08,8.2,23,5.9,1,19,36,52.8,0,0,0,0,74.7,33,327,73,4.48,59,6.49,2,3:14,3,6,49,9,79,4,4,56.3,46.2,24,6,14,4,16,9,56.3,1,0,0.0,383,3,6,49,9,79,15,128,1,0,0,5,4,0,327,73,4.48,59,6.49,2,3:14,19,6,10,3,13,6,46.2,0,0,,3,2,2,4,4,1,0,0
26,NYG,2015-11-15,342,2,80,0,1,329,77,28:24,Sun,10,10,,NWE,L 26-27,24,44,20,54.5,2,0,4.5,0.0,96.9,3,19,6.38,7.8,7.28,8.68,8.13,14.3,23,3.3,1,26,42,61.9,2,3,5,1,92.3,23,422,70,6.03,68,5.97,1,3:20,2,8,49,7,93,4,2,46.7,50.0,21,2,16,3,15,7,46.7,0,0,,406,2,8,49,7,93,15,142,3,3,3,2,2,0,422,70,6.03,68,5.97,1,3:20,22,5,15,2,14,7,50.0,1,1,100.0,2,2,2,4,4,0,0,0
27,NYG,2015-11-29,299,2,33,0,3,302,105,24:00,Sun,11,12,@,WAS,L 14-20,26,51,25,51.0,2,3,3.9,5.9,59.4,3,22,5.56,5.9,5.54,4.0,3.78,11.5,37,2.8,1,20,29,69.0,1,0,0,0,114.4,13,332,67,4.96,66,6.17,3,3:13,0,4,35,7,80,0,2,20.0,26.7,17,1,14,2,15,3,20.0,2,2,100.0,407,0,4,35,7,80,11,115,2,2,2,3,2,0,332,67,4.96,66,6.17,3,3:13,18,5,12,1,15,4,26.7,2,1,50.0,2,2,2,0,0,0,0,0
28,NYG,2015-12-06,281,1,74,0,1,373,90,29:56,Sun,12,13,,NYJ,L 20-23 (OT),18,34,16,52.9,1,1,2.9,2.9,80.1,3,16,8.11,8.3,7.59,7.53,6.92,15.6,24,3.8,0,36,50,72.0,2,3,17,0,106.5,24,355,61,5.82,77,6.01,1,3:21,1,8,60,8,61,2,3,26.7,40.0,14,2,9,3,15,4,26.7,2,1,50.0,463,1,8,60,8,61,16,121,2,2,2,3,3,0,355,61,5.82,77,6.01,1,3:21,28,5,21,2,15,6,40.0,1,1,100.0,2,2,2,3,2,0,0,0
29,NYG,2015-12-14,337,4,92,0,1,235,128,30:31,Mon,13,14,@,MIA,W 31-24,27,31,4,87.1,4,0,12.9,0.0,151.5,0,0,0.0,10.9,10.87,13.45,13.45,12.5,22,5.8,2,25,41,61.0,1,1,1,0,84.9,31,429,62,6.92,64,5.67,1,3:12,1,3,25,12,123,1,1,45.5,43.8,25,6,15,4,11,5,45.5,0,0,,363,1,3,25,12,123,15,148,3,3,3,1,1,0,429,62,6.92,64,5.67,1,3:12,16,6,10,0,16,7,43.8,2,1,50.0,4,4,4,2,1,0,0,0
30,NYG,2015-12-20,245,4,161,1,2,309,171,29:08,Sun,14,15,,CAR,L 35-38,29,46,17,63.0,4,1,8.7,2.2,96.7,0,0,0.0,5.3,5.33,6.09,6.09,8.4,29,5.9,0,25,45,55.6,5,3,31,0,114.0,27,406,73,5.56,77,6.23,2,3:24,1,7,47,7,88,0,1,40.0,52.9,21,7,11,3,15,6,40.0,2,2,100.0,480,1,7,47,7,88,14,135,5,5,5,2,1,0,406,73,5.56,77,6.23,2,3:24,28,7,20,1,17,9,52.9,0,0,,5,5,5,0,0,0,0,0
