Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
26,PIT,2015-11-15,399,3,60,0,2,327,15,27:17,Sun,10,10,,CLE,W 30-9,25,37,12,67.6,399,3,1,8.1,2.7,119.4,1,3,2.63,10.8,10.50,11.19,10.89,16.0,14,15,1.1,0,33,45,73.3,327,1,6,45,1,91.6,21,60,2.9,0,459,59,7.78,65,5.26,2,27:17,3:08
27,PIT,2015-11-29,480,1,58,2,4,336,100,32:00,Sun,11,12,@,SEA,L 30-39,37,59,22,62.7,480,1,4,1.7,6.8,66.3,2,10,3.28,8.1,7.87,5.42,5.25,13.0,27,100,3.7,1,21,30,70.0,336,5,2,9,0,146.7,14,58,4.1,2,538,75,7.17,59,7.39,4,32:00,3:30
28,PIT,2015-12-06,364,4,158,0,2,186,54,32:50,Sun,12,13,,IND,W 45-10,24,39,15,61.5,364,4,0,10.3,0.0,126.4,0,0,0.00,9.3,9.33,11.38,11.38,15.2,18,54,3.0,0,20,34,58.8,186,1,5,34,2,59.2,32,158,4.9,0,522,71,7.35,57,4.21,2,32:50,3:05
29,PIT,2015-12-13,270,0,84,2,1,321,64,35:47,Sun,13,14,@,CIN,W 33-20,30,39,9,76.9,270,0,1,0.0,2.6,85.6,2,12,4.88,6.9,6.59,5.77,5.49,9.0,16,64,4.0,0,25,37,67.6,321,2,3,18,3,78.8,28,84,3.0,2,354,69,5.13,56,6.88,1,35:47,3:10
30,PIT,2015-12-20,354,3,23,1,2,281,104,31:16,Sun,14,15,,DEN,W 34-27,40,55,15,72.7,354,3,2,5.5,3.6,94.5,3,26,5.17,6.4,6.10,5.89,5.59,8.9,25,104,4.2,1,21,44,47.7,281,3,2,15,1,81.7,17,23,1.4,1,377,75,5.03,71,5.42,2,31:16,3:31
31,PIT,2015-12-27,198,0,110,2,3,265,121,25:40,Sun,15,16,@,BAL,L 17-20,24,34,10,70.6,198,0,2,0.0,5.9,63.4,3,22,8.11,5.8,5.35,3.18,2.92,8.3,31,121,3.9,1,28,41,68.3,265,1,1,9,0,94.1,20,110,5.5,2,308,57,5.40,73,5.29,3,25:40,3:04
32,PIT,2016-01-03,349,3,30,0,3,177,86,26:03,Sun,16,17,@,CLE,W 28-12,24,36,12,66.7,349,3,2,8.3,5.6,102.7,0,0,0.00,9.7,9.69,8.86,8.86,14.5,23,86,3.7,0,24,46,52.2,177,0,7,63,2,43.5,19,30,1.6,0,379,55,6.89,76,3.46,3,26:03,3:08
33,PIT,2016-09-12,290,3,147,2,1,329,55,33:18,Mon,1,1,@,WAS,W 38-16,27,37,10,73.0,290,3,1,8.1,2.7,112.4,1,10,2.63,7.8,7.63,8.24,8.03,10.7,12,55,4.6,1,30,43,69.8,329,0,0,0,2,72.7,30,147,4.9,2,437,68,6.43,55,6.98,1,33:18,2:56
34,PIT,2016-09-18,250,3,124,0,2,366,46,32:55,Sun,2,2,,CIN,W 24-16,19,37,18,51.4,250,3,2,8.1,5.4,78.5,1,9,2.63,6.8,6.58,5.95,5.79,13.2,18,46,2.6,0,31,54,57.4,366,1,1,0,0,84.3,36,124,3.4,0,374,74,5.05,73,5.64,2,32:55,3:14
35,PIT,2016-09-25,222,0,29,0,2,301,125,25:04,Sun,3,3,@,PHI,L 3-34,24,44,20,54.5,222,0,1,0.0,2.3,62.4,4,35,8.33,5.0,4.63,4.02,3.69,9.3,30,125,4.2,2,23,31,74.2,301,2,0,0,0,125.9,10,29,2.9,0,251,58,4.33,61,6.98,2,25:04,2:56
36,PIT,2016-10-02,287,5,149,1,0,270,87,29:24,Sun,4,4,,KAN,W 43-14,22,27,5,81.5,287,5,0,18.5,0.0,152.5,2,13,6.90,10.6,9.90,14.33,13.34,13.0,18,87,4.8,0,30,50,60.0,270,2,4,17,1,79.6,26,149,5.7,1,436,55,7.93,72,4.96,0,29:24,3:12
37,PIT,2016-10-09,375,4,61,0,1,244,72,31:50,Sun,5,5,,NYJ,W 31-13,34,47,13,72.3,375,4,0,8.5,0.0,124.4,1,5,2.08,8.0,7.81,9.68,9.48,11.0,17,72,4.2,0,25,38,65.8,244,1,3,11,0,92.4,24,61,2.5,0,436,72,6.06,58,5.45,1,31:50,3:00
38,PIT,2016-10-16,169,1,128,1,2,252,222,23:30,Sun,6,6,@,MIA,L 15-30,19,35,16,54.3,169,1,2,2.9,5.7,55.5,2,20,5.41,4.8,4.57,2.83,2.68,8.9,36,222,6.2,3,24,32,75.0,252,0,0,0,0,97.4,16,128,8.0,1,297,53,5.60,68,6.97,2,23:30,3:07
39,PIT,2016-10-23,281,1,94,0,1,222,140,32:29,Sun,7,7,,NWE,L 16-27,29,47,18,61.7,281,1,1,2.1,2.1,76.6,0,0,0.00,6.0,5.98,5.45,5.45,9.7,29,140,4.8,2,19,26,73.1,222,2,0,0,0,124.2,22,94,4.3,0,375,69,5.43,55,6.58,1,32:29,3:05
