Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
130,ARI,2022-09-11,179,2,103,1,0,360,128,25:18,Sun,1,1,,KAN,L 21-44,24,38,14,63.2,179,2,0,5.3,0.0,94.7,3,26,7.32,4.7,4.37,5.76,5.34,7.5,27,128,4.7,1,30,39,76.9,360,5,0,0,0,144.2,22,103,4.7,1,282,63,4.48,66,7.39,0,25:18,3:00
131,ARI,2022-09-18,270,1,143,2,1,244,80,36:22,Sun,2,2,@,LVR,W 29-23 (OT),31,49,18,63.3,270,1,1,2.0,2.0,76.7,1,7,2.00,5.5,5.40,5.00,4.90,8.7,21,80,3.8,0,25,39,64.1,244,2,1,8,0,98.7,28,143,5.1,2,413,78,5.29,61,5.31,1,36:22,3:31
132,ARI,2022-09-25,295,0,70,0,0,239,100,33:56,Sun,3,3,,LAR,L 12-20,37,58,21,63.8,295,0,0,0.0,0.0,77.8,2,19,3.33,5.1,4.92,5.09,4.92,8.0,20,100,5.0,2,18,25,72.0,239,0,1,10,0,101.9,21,70,3.3,0,365,81,4.51,46,7.37,0,33:56,3:01
133,ARI,2022-10-02,206,2,132,1,1,180,40,38:35,Sun,4,4,@,CAR,W 26-16,23,32,9,71.9,206,2,1,6.3,3.1,96.7,1,1,3.03,6.4,6.24,6.28,6.09,9.0,13,40,3.1,0,22,36,61.1,180,1,2,17,2,60.0,37,132,3.6,1,338,70,4.83,51,4.31,1,38:35,3:07
134,ARI,2022-10-09,239,1,124,1,1,218,139,25:21,Sun,5,5,,PHI,L 17-20,28,42,14,66.7,239,1,1,2.4,2.4,80.5,1,11,2.33,5.7,5.56,5.10,4.98,8.5,33,139,4.2,2,26,36,72.2,218,0,2,21,0,87.5,26,124,4.8,1,363,69,5.26,71,5.03,1,25:21,2:53
135,ARI,2022-10-16,171,0,144,0,2,160,136,30:44,Sun,6,6,@,SEA,L 9-19,23,37,14,62.2,171,0,1,0.0,2.7,67.6,6,51,13.95,4.6,3.98,3.41,2.93,7.4,30,136,4.5,1,20,31,64.5,160,0,5,37,0,77.4,28,144,5.1,0,315,71,4.44,66,4.48,2,30:44,3:08
136,ARI,2022-10-20,189,1,137,2,0,409,85,30:58,Thu,7,7,,NOR,W 42-34,20,29,9,69.0,189,1,0,3.4,0.0,100.4,2,15,6.45,6.5,6.10,7.21,6.74,9.5,22,85,3.9,0,32,49,65.3,409,4,0,0,3,93.0,29,137,4.7,2,326,60,5.43,71,6.96,0,30:58,3:17
137,ARI,2022-10-30,297,3,78,0,3,208,173,30:33,Sun,8,8,@,MIN,L 26-34,31,44,13,70.5,297,3,2,6.8,4.5,95.5,4,29,8.33,6.8,6.19,6.07,5.56,9.6,29,173,6.0,3,24,36,66.7,208,2,3,24,0,100.2,22,78,3.5,0,375,70,5.36,68,5.60,3,30:33,3:26
138,ARI,2022-11-06,140,2,122,0,1,263,158,25:29,Sun,9,9,,SEA,L 21-31,25,35,10,71.4,140,2,0,5.7,0.0,101.5,5,35,12.50,4.0,3.50,5.14,4.50,5.6,34,158,4.6,2,26,34,76.5,263,2,2,12,1,105.4,21,122,5.8,0,262,61,4.30,70,6.01,1,25:29,3:04
139,ARI,2022-11-13,220,1,78,2,0,190,66,32:01,Sun,10,10,@,LAR,W 27-17,26,37,11,70.3,220,1,0,2.7,0.0,96.5,2,18,5.13,5.9,5.64,6.49,6.15,8.5,20,66,3.3,1,25,37,67.6,190,1,3,19,1,77.5,26,78,3.0,2,298,65,4.58,60,4.27,0,32:01,3:00
140,ARI,2022-11-21,247,0,67,1,2,228,159,30:51,Mon,11,11,,SFO,L 10-38,30,44,14,68.2,247,0,2,0.0,4.5,66.2,3,30,6.38,5.6,5.26,3.57,3.34,8.2,28,159,5.7,1,20,29,69.0,228,4,0,0,0,131.9,24,67,2.8,1,314,71,4.42,57,6.79,2,30:51,2:59
141,ARI,2022-11-27,185,2,181,1,2,246,65,30:35,Sun,12,12,,LAC,L 24-25,18,29,11,62.1,185,2,1,6.9,3.4,89.9,1,6,3.33,6.4,6.17,6.21,6.00,10.3,13,65,5.0,0,35,47,74.5,246,3,4,28,0,107.2,34,181,5.3,1,366,64,5.72,64,4.86,2,30:35,3:08
142,ARI,2022-12-12,210,0,113,1,2,225,103,33:31,Mon,13,14,,NWE,L 13-27,28,41,13,68.3,210,0,1,0.0,2.4,74.7,6,45,12.77,5.1,4.47,4.02,3.51,7.5,21,103,4.9,2,24,35,68.6,225,0,1,10,1,74.1,22,113,5.1,1,323,69,4.68,57,5.75,2,33:31,3:14
