Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
21,CIN,2015-10-11,310,2,109,1,2,197,200,40:49,Sun,5,5,,SEA,W 27-24 (OT),30,44,14,68.2,2,1,4.5,2.3,95.9,4,21,8.33,7.0,6.46,6.93,6.35,10.3,30,6.7,1,15,23,65.2,1,4,16,1,88.5,31,419,79,5.3,57,6.96,2,3:19,1,7,50,10,112,2,1,40.0,38.5,27,6,18,3,15,6,40.0,0,0,,397,1,7,50,10,112,17,162,3,3,3,1,1,0,419,79,5.3,57,6.96,2,3:19,16,7,9,0,13,5,38.5,0,0,,3,3,3,2,2,0,0,0
22,CIN,2015-10-18,243,3,112,1,0,256,112,30:00,Sun,6,6,@,BUF,W 34-21,22,33,11,66.7,3,0,9.1,0.0,118.6,0,0,0.0,7.4,7.36,9.18,9.18,11.0,23,4.9,2,28,42,66.7,1,2,7,1,81.1,28,355,61,5.82,67,5.49,0,3:09,1,3,20,8,93,2,0,58.3,38.5,21,5,15,1,12,7,58.3,0,0,,368,1,3,20,8,93,11,113,3,3,3,0,0,0,355,61,5.82,67,5.49,0,3:09,22,9,13,0,13,5,38.5,2,1,50.0,4,4,4,2,2,0,0,0
23,CIN,2015-11-01,218,1,78,0,2,240,116,29:51,Sun,7,8,@,PIT,W 16-10,23,38,15,60.5,1,2,2.6,5.3,64.7,3,13,7.32,5.7,5.32,3.89,3.61,9.5,19,6.1,0,28,45,62.2,1,3,22,3,55.8,23,296,64,4.63,67,5.31,2,3:22,3,10,94,10,91,3,1,26.7,27.3,16,3,11,2,15,4,26.7,0,0,,356,3,10,94,10,91,20,185,1,1,1,1,1,0,296,64,4.63,67,5.31,2,3:22,21,3,15,3,11,3,27.3,0,0,,1,1,1,4,3,0,0,0
24,CIN,2015-11-05,219,3,152,1,0,144,69,36:03,Thu,8,9,,CLE,W 31-10,21,27,6,77.8,3,0,11.1,0.0,139.8,2,15,6.9,8.1,7.55,10.33,9.62,10.4,17,4.1,0,15,33,45.5,1,3,24,0,68.2,37,371,66,5.62,53,4.02,0,2:51,0,2,20,4,28,1,1,57.1,30.8,23,8,13,2,14,8,57.1,1,1,100.0,213,0,2,20,4,28,6,48,1,1,1,1,1,0,371,66,5.62,53,4.02,0,2:51,13,4,9,0,13,4,30.8,2,1,50.0,4,4,4,1,1,0,0,0
25,CIN,2015-11-16,182,0,74,0,2,174,82,31:26,Mon,9,10,,HOU,L 6-10,22,38,16,57.9,0,1,0.0,2.6,61.0,4,15,9.52,4.8,4.33,3.61,3.26,8.3,25,3.3,0,17,33,51.5,1,3,18,1,64.5,20,256,62,4.13,61,4.2,2,2:57,1,9,70,5,54,2,1,28.6,33.3,16,5,9,2,14,4,28.6,1,0,0.0,256,1,9,70,5,54,14,124,1,1,1,1,1,0,256,62,4.13,61,4.2,2,2:57,16,4,10,2,15,5,33.3,1,0,0.0,0,0,0,2,2,0,0,0
26,CIN,2015-11-22,278,2,99,2,1,301,82,31:15,Sun,10,11,@,ARI,L 31-34,22,39,17,56.4,2,0,5.1,0.0,99.8,4,37,9.3,7.1,6.47,8.15,7.4,12.6,25,3.3,0,20,31,64.5,4,2,16,2,109.0,28,377,71,5.31,58,6.6,1,3:18,2,10,108,7,40,1,2,38.5,45.5,24,6,14,4,13,5,38.5,1,1,100.0,383,2,10,108,7,40,17,148,4,4,4,2,2,0,377,71,5.31,58,6.6,1,3:18,21,2,15,4,11,5,45.5,0,0,,4,4,4,1,1,0,0,0
27,CIN,2015-11-29,236,3,140,0,1,251,94,30:07,Sun,11,12,,LAR,W 31-7,21,28,7,75.0,3,1,10.7,3.6,120.5,0,0,0.0,8.4,8.43,8.96,8.96,11.2,17,5.5,1,36,53,67.9,0,1,8,3,54.8,31,376,59,6.37,71,4.86,1,2:51,3,3,35,7,45,1,0,30.0,40.0,19,6,12,1,10,3,30.0,1,0,0.0,345,3,3,35,7,45,10,80,1,1,1,0,0,0,376,59,6.37,71,4.86,1,2:51,19,3,14,2,15,6,40.0,3,1,33.3,4,4,4,1,1,0,0,0
28,CIN,2015-12-06,233,2,144,2,0,205,68,30:58,Sun,12,13,@,CLE,W 37-3,16,22,6,72.7,2,0,9.1,0.0,138.3,1,6,4.35,10.6,10.13,12.41,11.87,14.6,19,3.6,0,25,38,65.8,0,3,25,1,68.4,33,377,56,6.73,60,4.55,0,2:58,2,5,55,7,84,3,1,41.7,46.2,20,9,9,2,12,5,41.7,3,2,66.7,273,2,5,55,7,84,12,139,0,0,0,2,1,0,377,56,6.73,60,4.55,0,2:58,18,5,10,3,13,6,46.2,2,0,0.0,4,4,4,3,3,0,0,0
29,CIN,2015-12-13,321,2,64,0,3,270,84,24:13,Sun,13,14,,PIT,L 20-33,25,37,12,67.6,2,3,5.4,8.1,80.8,3,18,7.5,8.7,8.03,6.11,5.65,12.8,28,3.0,2,30,39,76.9,0,2,12,1,84.3,16,385,56,6.88,69,5.13,3,3:10,1,4,27,5,82,2,4,37.5,57.1,22,5,14,3,8,3,37.5,0,0,,354,1,4,27,5,82,9,109,3,3,3,4,4,0,385,56,6.88,69,5.13,3,3:10,22,7,13,2,14,8,57.1,0,0,,2,2,2,3,2,0,0,0
30,CIN,2015-12-20,174,1,68,2,1,263,55,30:59,Sun,14,15,@,SFO,W 24-14,15,21,6,71.4,1,0,4.8,0.0,115.6,4,18,16.0,8.3,6.96,9.24,7.76,11.6,17,3.2,1,30,50,60.0,1,4,32,3,55.7,36,242,61,3.97,71,4.48,1,3:17,4,6,45,11,98,1,0,28.6,14.3,14,5,7,2,14,4,28.6,1,0,0.0,318,4,6,45,11,98,17,143,2,2,2,1,0,0,242,61,3.97,71,4.48,1,3:17,17,4,12,1,14,2,14.3,2,2,100.0,3,3,3,1,1,0,0,0
