Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rusing Yards per Attempt,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
90,LAR,2019-11-17,173,0,110,2,2,193,74,27:16,Sun,10,11,,CHI,W 17-7,11,18,7,61.1,0,1,0.0,5.6,69.9,0,0,0.00,9.6,9.61,7.11,7.11,15.7,24,3.1,0,25,47,53.2,1,3,6,1,61.7,34,3.2,283,52,5.44,74,3.61,2,2:52
91,LAR,2019-11-25,199,0,22,0,2,195,285,20:04,Mon,11,12,,BAL,L 6-45,26,37,11,70.3,0,2,0.0,5.4,62.0,2,13,5.13,5.4,5.10,2.95,2.79,7.7,48,5.9,1,16,23,69.6,5,3,13,0,135.0,9,2.4,221,48,4.60,74,6.49,2,2:54
92,LAR,2019-12-01,417,2,132,1,0,124,74,34:37,Sun,12,13,@,ARI,W 34-7,33,45,12,73.3,2,0,4.4,0.0,117.5,1,10,2.17,9.3,9.07,10.16,9.93,12.6,21,3.5,1,19,34,55.9,0,6,39,1,51.6,30,4.4,549,76,7.22,61,3.25,0,3:01
93,LAR,2019-12-08,293,2,162,2,2,202,106,31:04,Sun,13,14,,SEA,W 28-12,22,32,10,68.8,2,2,6.3,6.3,92.3,0,0,0.00,9.2,9.16,7.59,7.59,13.3,21,5.0,0,22,36,61.1,0,5,43,1,64.8,35,4.6,455,67,6.79,62,4.97,2,3:01
94,LAR,2019-12-15,267,2,22,1,1,212,263,23:54,Sun,14,15,@,DAL,L 21-44,34,52,18,65.4,2,1,3.8,1.9,84.5,2,22,3.70,5.1,4.94,5.04,4.85,7.9,45,5.8,3,15,23,65.2,2,0,0,0,123.8,14,1.6,289,68,4.25,68,6.99,1,3:14
95,LAR,2019-12-21,323,2,72,2,1,215,119,32:21,Sat,15,16,@,SFO,L 31-34,27,46,19,58.7,2,1,4.3,2.2,85.7,0,0,0.00,7.0,7.02,6.91,6.91,12.0,23,5.2,2,16,27,59.3,1,6,33,2,66.1,24,3.0,395,70,5.64,56,5.96,1,3:06
96,LAR,2019-12-29,311,3,113,1,0,322,71,36:58,Sun,16,17,,ARI,W 31-24,29,45,16,64.4,3,0,6.7,0.0,107.5,1,8,2.17,6.9,6.76,8.24,8.07,10.7,17,4.2,1,27,43,62.8,2,1,3,2,81.7,33,3.4,424,79,5.37,61,6.44,0,3:19
97,LAR,2020-09-13,269,0,153,2,1,244,136,35:38,Sun,1,1,,DAL,W 20-17,20,31,11,64.5,0,1,0.0,3.2,79.4,1,6,3.13,8.7,8.41,7.23,7.00,13.5,27,5.0,1,25,39,64.1,1,3,22,0,90.1,40,3.8,422,72,5.86,69,5.51,1,2:56
98,LAR,2020-09-20,258,3,191,2,1,242,121,31:13,Sun,2,2,@,PHI,W 37-19,20,27,7,74.1,3,0,11.1,0.0,142.1,1,9,3.57,9.6,9.21,11.78,11.36,12.9,26,4.7,2,26,43,60.5,0,0,0,2,56.5,39,4.9,449,67,6.70,69,5.26,1,3:08
99,LAR,2020-09-27,311,2,167,2,2,274,101,32:12,Sun,3,3,@,BUF,L 32-35,23,32,9,71.9,2,1,6.3,3.1,111.6,2,10,5.88,9.7,9.15,9.56,9.00,13.5,21,4.8,1,24,33,72.7,4,4,37,1,124.2,32,5.2,478,66,7.24,58,6.47,2,3:04
