Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rusing Yards per Attempt,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
149,DAL,2023-09-24,231,1,185,0,1,178,222,34:33,Sun,3,3,@,ARI,L 16-28,25,40,15,62.5,1,1,2.5,2.5,78.0,2,18,4.76,5.8,5.50,5.15,4.90,9.2,30,7.4,2,17,21,81.0,1,2,11,0,117.9,33,5.6,416,75,5.55,53,7.55,1,2:56
150,DAL,2023-10-01,253,1,124,1,0,200,53,35:09,Sun,4,4,,NWE,W 38-3,30,36,6,83.3,1,0,2.8,0.0,108.4,3,28,7.69,7.0,6.49,7.58,7.00,8.4,23,2.3,0,16,30,53.3,0,2,7,2,46.5,30,4.1,377,69,5.46,55,4.60,0,2:56
151,DAL,2023-10-08,140,1,57,0,4,251,170,22:55,Sun,5,5,@,SFO,L 10-42,16,26,10,61.5,1,3,3.8,11.5,52.4,4,21,13.33,5.4,4.67,0.96,0.83,8.8,41,4.1,2,18,25,72.0,4,1,2,0,143.5,19,3.0,197,49,4.02,67,6.28,4,3:05
152,DAL,2023-10-16,246,1,96,1,1,219,53,29:52,Mon,6,6,@,LAC,W 20-17,21,30,9,70.0,1,0,3.3,0.0,109.3,5,26,14.29,8.2,7.03,8.87,7.60,11.7,23,2.3,0,22,37,59.5,2,1,8,1,83.1,26,3.7,342,61,5.61,61,4.46,1,3:08
153,DAL,2023-10-29,285,4,102,0,1,188,92,35:28,Sun,7,8,,LAR,W 43-20,27,34,7,79.4,4,1,11.8,2.9,131.3,3,22,8.11,8.4,7.70,9.41,8.65,10.6,24,3.8,1,18,32,56.3,1,2,16,1,70.8,26,3.9,387,63,6.14,58,4.83,1,2:57
154,DAL,2023-11-05,333,3,73,0,1,183,109,29:42,Sun,8,9,@,PHI,L 23-28,29,44,15,65.9,3,0,6.8,0.0,115.2,5,41,10.20,7.6,6.80,8.93,8.02,11.5,33,3.3,2,17,23,73.9,2,3,24,0,125.8,21,3.5,406,70,5.80,59,4.95,1,3:16
155,DAL,2023-11-12,472,4,168,3,2,61,111,37:21,Sun,9,10,,NYG,W 49-17,33,44,11,75.0,4,2,9.1,4.5,120.6,0,0,0.00,10.7,10.73,10.50,10.50,14.3,23,4.8,0,14,27,51.9,2,5,25,1,67.1,33,5.1,640,77,8.31,55,3.13,2,3:14
156,DAL,2023-11-19,204,2,107,1,0,77,110,31:21,Sun,10,11,@,CAR,W 33-10,27,41,14,65.9,2,0,4.9,0.0,94.0,0,0,0.00,5.0,4.98,5.95,5.95,7.6,23,4.8,0,16,29,55.2,1,7,46,1,57.7,27,4.0,311,68,4.57,59,3.17,0,3:02
157,DAL,2023-11-23,331,4,100,1,0,268,108,23:06,Thu,11,12,,WAS,W 45-10,22,32,10,68.8,4,0,12.5,0.0,142.1,0,0,0.00,10.3,10.34,12.84,12.84,15.0,27,4.0,1,28,44,63.6,0,4,32,1,71.0,18,5.6,431,50,8.62,75,5.01,0,3:07
158,DAL,2023-11-30,275,3,136,1,0,334,72,36:27,Thu,12,13,,SEA,W 41-35,29,41,12,70.7,3,0,7.3,0.0,115.8,4,24,8.89,6.7,6.11,8.17,7.44,9.5,22,3.3,2,23,41,56.1,3,1,0,1,97.0,34,4.0,411,79,5.20,64,6.34,0,3:25
159,DAL,2023-12-10,256,2,138,1,1,218,106,36:36,Sun,13,14,,PHI,W 33-13,24,39,15,61.5,2,0,5.1,0.0,99.4,3,15,7.14,6.6,6.10,7.59,7.05,10.7,23,4.6,0,19,28,67.9,0,1,7,0,91.1,32,4.3,394,74,5.32,52,6.23,1,3:08
160,DAL,2023-12-17,106,0,89,1,1,85,266,24:55,Sun,14,15,@,BUF,L 10-31,21,34,13,61.8,0,1,0.0,2.9,57.7,3,28,8.11,3.1,2.86,1.79,1.65,5.0,49,5.4,3,7,15,46.7,1,1,9,0,86.8,20,4.5,195,57,3.42,65,5.40,1,2:43
161,DAL,2023-12-24,242,2,97,0,1,284,91,31:02,Sun,15,16,@,MIA,L 20-22,20,32,12,62.5,2,0,6.3,0.0,107.9,4,11,11.11,7.6,6.72,8.81,7.83,12.1,26,3.5,0,24,37,64.9,1,1,9,0,97.1,25,3.9,339,61,5.56,64,5.86,1,3:01
162,DAL,2023-12-30,323,2,61,0,2,295,125,29:24,Sat,16,17,,DET,W 20-19,26,38,12,68.4,2,1,5.3,2.6,103.5,3,22,7.32,8.5,7.88,8.37,7.76,12.4,31,4.0,1,20,35,57.1,1,1,7,2,70.5,21,2.9,384,62,6.19,67,6.27,2,3:05
163,DAL,2024-01-07,309,4,131,1,1,130,50,33:55,Sun,17,18,@,WAS,W 38-10,34,40,6,85.0,4,1,10.0,2.5,121.8,0,0,0.00,7.7,7.73,8.60,8.60,9.1,17,2.9,0,20,28,71.4,1,4,27,2,63.1,29,4.5,440,69,6.38,49,3.67,1,2:44
