Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
22,NWE,2015-10-25,337,2,16,1,0,283,89,26:57,Sun,6,7,,NYJ,W 30-23,34,54,20,63.0,2,0,3.7,0.0,94.3,3,18,5.26,6.2,5.91,6.98,6.61,9.9,29,3.1,0,22,39,56.4,2,2,12,0,96.4,9,353,66,5.35,70,5.31,0,3:16,1,4,38,4,29,3,3,50.0,57.1,20,3,17,0,16,8,50.0,1,1,100.0,372,1,4,38,4,29,8,67,2,2,2,3,3,0,353,66,5.35,70,5.31,0,3:16,25,3,19,3,14,8,57.1,0,0,,3,3,3,3,3,0,0,0
23,NWE,2015-10-29,342,4,95,0,0,255,15,32:37,Thu,7,8,,MIA,W 36-7,26,38,12,68.4,4,0,10.5,0.0,133.2,2,14,5.0,9.0,8.55,11.11,10.55,13.2,13,1.2,1,28,44,63.6,0,5,45,2,60.3,26,437,66,6.62,62,4.35,0,3:02,2,8,69,7,40,2,0,25.0,18.2,24,8,16,0,12,3,25.0,1,1,100.0,270,2,8,69,7,40,15,109,1,1,1,1,0,0,437,66,6.62,62,4.35,0,3:02,18,2,16,0,11,2,18.2,2,1,50.0,4,4,4,2,2,0,0,1
24,NWE,2015-11-08,299,2,161,1,2,213,37,37:05,Sun,8,9,,WAS,W 27-10,26,39,13,66.7,2,1,5.1,2.6,96.0,0,0,0.0,7.7,7.67,7.54,7.54,11.5,15,2.5,0,22,40,55.0,1,1,4,1,68.0,37,460,76,6.05,56,4.46,2,2:58,2,6,43,4,27,2,1,56.3,50.0,27,10,15,2,16,9,56.3,1,1,100.0,250,2,6,43,4,27,10,70,1,1,1,1,1,0,460,76,6.05,56,4.46,2,2:58,16,3,12,1,14,7,50.0,1,0,0.0,3,3,3,2,2,0,0,0
25,NWE,2015-11-15,329,2,77,1,2,342,80,31:36,Sun,9,10,@,NYG,W 27-26,26,42,16,61.9,2,1,4.8,2.4,92.8,3,5,6.67,7.8,7.31,7.71,7.2,12.7,23,3.5,0,24,44,54.5,2,3,19,0,95.1,23,406,68,5.97,70,6.03,2,3:20,1,7,93,8,49,2,4,50.0,46.7,22,5,15,2,14,7,50.0,1,1,100.0,422,1,7,93,8,49,15,142,2,2,2,4,4,0,406,68,5.97,70,6.03,2,3:20,21,2,16,3,15,7,46.7,0,0,,3,3,3,2,2,0,0,0
26,NWE,2015-11-23,271,1,85,1,1,225,94,27:05,Mon,10,11,,BUF,W 20-13,20,39,19,51.3,1,1,2.6,2.6,72.3,1,6,2.5,6.9,6.78,6.31,6.15,13.6,30,3.1,1,20,36,55.6,0,2,8,0,74.4,22,356,62,5.74,68,4.69,1,3:32,1,5,61,5,44,2,2,28.6,20.0,18,4,12,2,14,4,28.6,0,0,,319,1,5,61,5,44,10,105,1,1,1,3,2,0,356,62,5.74,68,4.69,1,3:32,16,6,9,1,15,3,20.0,1,1,100.0,2,2,2,3,2,0,0,0
27,NWE,2015-11-29,262,3,39,0,1,254,179,25:57,Sun,11,12,@,DEN,L 24-30 (OT),23,42,19,54.8,3,0,7.1,0.0,99.3,3,18,6.67,6.2,5.82,7.67,7.16,11.4,32,5.6,3,23,42,54.8,1,3,16,1,70.9,16,301,61,4.93,77,5.62,1,3:28,1,5,47,6,46,1,1,15.4,25.0,16,1,13,2,13,2,15.4,1,0,0.0,433,1,5,47,6,46,11,93,4,3,3,2,1,0,301,61,4.93,77,5.62,1,3:28,23,9,12,2,16,4,25.0,1,1,100.0,3,3,3,1,1,0,0,0
28,NWE,2015-12-06,324,3,103,1,2,120,128,34:16,Sun,12,13,,PHI,L 28-35,30,57,27,52.6,3,2,5.3,3.5,74.3,4,24,6.56,5.7,5.31,5.16,4.82,10.8,33,3.9,0,14,24,58.3,2,1,0,0,99.3,25,427,86,4.97,58,4.28,2,3:10,1,3,30,8,97,0,0,41.2,42.9,27,8,18,1,17,7,41.2,2,1,50.0,248,1,3,30,8,97,11,127,5,5,5,0,0,0,427,86,4.97,58,4.28,2,3:10,15,6,8,1,14,6,42.9,0,0,,4,4,4,0,0,0,0,0
29,NWE,2015-12-13,197,2,116,1,1,102,87,35:14,Sun,13,14,@,HOU,W 27-6,22,30,8,73.3,2,0,6.7,0.0,116.8,3,29,9.09,6.6,5.97,7.9,7.18,9.0,22,4.0,0,12,24,50.0,0,6,57,0,61.5,31,313,64,4.89,52,3.63,1,3:00,1,6,46,4,36,2,2,43.8,21.4,18,7,11,0,16,7,43.8,0,0,,189,1,6,46,4,36,10,82,0,0,0,2,2,0,313,64,4.89,52,3.63,1,3:00,7,2,4,1,14,3,21.4,2,0,0.0,3,3,3,2,2,0,0,0
30,NWE,2015-12-20,253,2,93,0,1,223,59,29:37,Sun,14,15,,TEN,W 33-16,23,35,12,65.7,2,0,5.7,0.0,107.7,2,14,5.41,7.2,6.84,8.37,7.92,11.0,21,2.8,0,23,34,67.6,2,5,51,2,80.9,26,346,63,5.49,60,4.7,1,3:06,3,5,35,3,29,4,1,43.8,25.0,17,4,12,1,16,7,43.8,0,0,,282,3,5,35,3,29,8,64,2,2,1,1,1,0,346,63,5.49,60,4.7,1,3:06,15,3,11,1,12,3,25.0,1,0,0.0,3,3,3,5,4,0,0,0
31,NWE,2015-12-27,221,1,63,0,1,285,143,28:33,Sun,15,16,@,NYJ,L 20-26 (OT),22,31,9,71.0,1,1,3.2,3.2,89.6,2,10,6.06,7.1,6.7,6.32,5.94,10.0,27,5.3,0,26,41,63.4,3,1,11,0,108.3,22,284,55,5.16,69,6.2,1,3:05,1,1,7,6,39,2,2,10.0,38.5,16,2,13,1,10,1,10.0,3,3,100.0,428,1,1,7,6,39,7,46,3,2,2,2,2,0,284,55,5.16,69,6.2,1,3:05,24,6,17,1,13,5,38.5,0,0,,2,2,2,2,2,0,0,0
32,NWE,2016-01-03,126,0,70,1,0,342,96,28:55,Sun,16,17,@,MIA,L 10-20,13,25,12,52.0,0,0,0.0,0.0,68.7,2,14,7.41,5.0,4.67,5.04,4.67,9.7,34,2.8,0,25,38,65.8,2,1,8,0,112.0,27,196,54,3.63,73,6.0,0,3:06,0,7,41,10,93,1,2,28.6,47.1,12,4,3,5,14,4,28.6,1,0,0.0,438,0,7,41,10,93,17,134,2,2,2,3,2,0,196,54,3.63,73,6.0,0,3:06,20,4,16,0,17,8,47.1,1,0,0.0,1,1,1,2,1,0,0,0
33,NWE,2016-09-11,257,1,106,1,2,252,92,33:59,Sun,1,1,@,ARI,W 23-21,24,33,9,72.7,1,0,3.0,0.0,106.1,2,7,5.71,7.8,7.34,8.39,7.91,10.7,19,4.8,1,24,37,64.9,2,3,19,0,102.5,31,363,66,5.5,59,5.83,2,3:03,0,8,69,6,58,3,0,62.5,50.0,19,7,11,1,16,10,62.5,0,0,,344,0,8,69,6,58,14,127,3,3,3,1,0,0,363,66,5.5,59,5.83,2,3:03,21,6,14,1,12,6,50.0,0,0,,2,2,2,3,3,0,0,0
34,NWE,2016-09-18,302,3,161,1,1,387,70,36:46,Sun,2,2,,MIA,W 31-24,24,35,11,68.6,3,0,8.6,0.0,126.4,2,22,5.41,8.6,8.16,10.34,9.78,12.6,16,4.4,1,32,45,71.1,2,0,0,2,93.5,38,463,75,6.17,61,7.49,1,3:08,4,7,65,5,49,1,1,50.0,50.0,29,11,15,3,14,7,50.0,0,0,,457,4,7,65,5,49,12,114,3,3,3,1,1,0,463,75,6.17,61,7.49,1,3:08,23,2,19,2,10,5,50.0,1,0,0.0,4,4,4,2,1,0,0,0
35,NWE,2016-09-22,97,0,185,3,0,175,109,28:38,Thu,3,3,,HOU,W 27-0,11,19,8,57.9,0,0,0.0,0.0,72.9,1,6,5.0,5.1,4.85,5.11,4.85,8.8,27,4.0,0,24,41,58.5,0,2,21,1,58.5,39,282,59,4.78,70,4.06,0,3:02,3,3,15,6,43,2,0,28.6,40.0,15,8,4,3,14,4,28.6,0,0,,284,3,3,15,6,43,9,58,0,0,0,0,0,0,282,59,4.78,70,4.06,0,3:02,19,9,10,0,15,6,40.0,3,0,0.0,3,3,3,2,2,0,0,0
36,NWE,2016-10-02,187,0,90,0,1,244,134,23:49,Sun,4,4,,BUF,L 0-16,17,27,10,63.0,0,0,0.0,0.0,86.2,3,18,10.0,6.9,6.23,6.93,6.23,11.0,32,4.2,0,27,39,69.2,1,2,2,0,94.4,22,277,52,5.33,73,5.18,1,2:50,0,9,74,6,60,0,3,8.3,46.7,13,3,10,0,12,1,8.3,3,2,66.7,378,0,9,74,6,60,15,134,1,1,1,4,3,0,277,52,5.33,73,5.18,1,2:50,24,7,15,2,15,7,46.7,0,0,,0,0,0,1,0,0,0,0
37,NWE,2016-10-09,403,3,98,1,0,235,27,34:39,Sun,5,5,@,CLE,W 33-13,28,41,13,68.3,3,0,7.3,0.0,124.6,1,3,2.38,9.8,9.6,11.29,11.02,14.4,22,1.2,0,20,35,57.1,2,2,14,1,84.8,35,501,77,6.51,59,4.44,0,3:09,1,5,61,5,35,1,0,52.9,38.5,24,7,15,2,17,9,52.9,1,0,0.0,262,1,5,61,5,35,10,96,2,1,1,0,0,0,501,77,6.51,59,4.44,0,3:09,17,2,12,3,13,5,38.5,1,0,0.0,4,4,4,2,1,0,0,1
38,NWE,2016-10-16,358,3,79,1,0,237,120,27:57,Sun,6,6,,CIN,W 35-17,29,35,6,82.9,3,0,8.6,0.0,140.0,3,18,7.89,10.2,9.42,11.94,11.0,12.3,32,3.8,1,21,31,67.7,1,2,17,0,101.1,23,437,61,7.16,65,5.49,0,3:03,0,6,55,7,46,2,1,40.0,41.7,25,5,17,3,10,4,40.0,1,1,100.0,357,0,6,55,7,46,13,101,2,2,2,1,1,0,437,61,7.16,65,5.49,0,3:03,20,7,12,1,12,5,41.7,2,1,50.0,4,4,3,2,2,0,0,1
