Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
21,CLE,2015-10-11,422,2,83,1,0,196,181,39:16,Sun,5,5,@,BAL,W 33-30 (OT),36,51,15,70.6,2,0,3.9,0.0,111.3,4,35,7.27,8.3,7.67,9.06,8.4,11.7,31,5.8,3,19,35,54.3,1,1,14,0,80.2,25,505,80,6.31,67,5.63,0,3:40,0,9,74,12,98,4,1,63.2,35.7,25,4,18,3,19,12,63.2,0,0,,377,0,9,74,12,98,21,172,4,3,3,2,1,0,505,80,6.31,67,5.63,0,3:40,22,10,9,3,14,5,35.7,0,0,,3,1,1,4,4,2,1,0
22,CLE,2015-10-18,189,2,109,0,3,290,152,33:20,Sun,6,6,,DEN,L 23-26 (OT),20,39,19,51.3,2,2,5.1,5.1,63.3,4,24,9.3,4.8,4.4,3.56,3.23,9.5,33,4.6,0,26,48,54.2,1,0,0,3,53.3,33,298,76,3.92,81,5.46,3,3:44,3,6,30,8,81,1,4,40.0,22.2,20,8,10,2,15,6,40.0,1,0,0.0,442,3,6,30,8,81,14,111,2,2,2,5,4,0,298,76,3.92,81,5.46,3,3:44,21,6,15,0,18,4,22.2,1,1,100.0,3,2,2,1,1,1,0,0
23,CLE,2015-10-25,282,0,82,0,4,150,158,35:33,Sun,7,7,@,LAR,L 6-24,30,37,7,81.1,0,0,0.0,0.0,100.1,4,15,9.76,7.6,6.88,7.62,6.88,9.4,26,6.1,2,15,23,65.2,0,2,13,0,83.6,24,364,65,5.6,51,6.04,4,2:58,1,11,98,9,75,2,1,25.0,11.1,19,3,12,4,12,3,25.0,1,0,0.0,308,1,11,98,9,75,20,173,3,3,3,3,1,0,364,65,5.6,51,6.04,4,2:58,16,9,5,2,9,1,11.1,0,0,,0,0,0,2,2,0,0,0
24,CLE,2015-11-01,215,3,39,0,2,372,119,25:37,Sun,8,8,,ARI,L 20-34,21,40,19,52.5,3,1,7.5,2.5,83.6,1,8,2.44,5.4,5.24,5.75,5.61,10.2,38,3.1,0,23,38,60.5,4,1,2,1,117.4,20,254,61,4.16,77,6.38,2,3:20,4,7,35,5,25,0,2,56.3,81.3,16,1,12,3,16,9,56.3,1,0,0.0,491,4,7,35,5,25,12,60,4,4,4,2,2,0,254,61,4.16,77,6.38,2,3:20,25,6,17,2,16,13,81.3,0,0,,3,3,2,0,0,0,0,0
25,CLE,2015-11-05,144,1,69,0,0,219,152,23:57,Thu,9,9,@,CIN,L 10-31,15,33,18,45.5,1,0,3.0,0.0,71.3,3,24,8.33,4.4,4.0,4.97,4.56,9.6,37,4.1,1,21,27,77.8,3,2,15,0,137.5,17,213,53,4.02,66,5.62,0,2:51,0,4,28,2,20,1,1,30.8,57.1,13,4,9,0,13,4,30.8,2,1,50.0,371,0,4,28,2,20,6,48,4,4,4,1,1,0,213,53,4.02,66,5.62,0,2:51,23,8,13,2,14,8,57.1,1,1,100.0,1,1,1,1,1,0,0,0
26,CLE,2015-11-15,327,1,15,0,3,399,60,32:43,Sun,10,10,@,PIT,L 9-30,33,45,12,73.3,1,1,2.2,2.2,95.8,6,45,11.76,7.3,6.41,6.71,5.92,9.9,21,2.9,0,25,37,67.6,3,1,3,1,119.1,14,342,65,5.26,59,7.78,3,3:08,2,12,188,5,50,1,3,38.5,30.0,20,2,16,2,13,5,38.5,3,1,33.3,459,2,12,188,5,50,17,238,3,2,1,3,3,0,342,65,5.26,59,7.78,3,3:08,22,4,13,5,10,3,30.0,1,0,0.0,1,1,0,1,1,0,0,0
27,CLE,2015-11-30,275,2,63,0,0,232,104,30:30,Mon,11,12,,BAL,L 27-33,28,48,20,58.3,2,0,4.2,0.0,89.7,2,14,4.0,5.7,5.5,6.56,6.3,9.8,23,4.5,0,20,34,58.8,2,0,0,2,74.6,18,338,68,4.97,57,5.89,0,3:10,2,2,15,7,50,2,2,26.7,18.2,21,4,15,2,15,4,26.7,2,2,100.0,336,2,2,15,7,50,9,65,4,3,3,2,2,0,338,68,4.97,57,5.89,0,3:10,16,6,10,0,11,2,18.2,2,2,100.0,3,3,3,3,2,0,0,0
28,CLE,2015-12-06,205,0,68,0,2,233,144,29:02,Sun,12,13,,CIN,L 3-37,25,38,13,65.8,0,1,0.0,2.6,71.2,3,25,7.32,5.4,5.0,4.21,3.9,8.2,33,4.4,2,16,22,72.7,2,1,6,0,137.1,19,273,60,4.55,56,6.73,2,2:58,0,7,84,5,55,1,3,46.2,41.7,18,5,10,3,13,6,46.2,2,0,0.0,377,0,7,84,5,55,12,139,4,4,4,3,3,0,273,60,4.55,56,6.73,2,2:58,20,9,9,2,12,5,41.7,3,2,66.7,0,0,0,2,1,0,0,0
29,CLE,2015-12-13,251,1,230,2,2,150,71,37:39,Sun,13,14,,SFO,W 24-10,21,31,10,67.7,1,1,3.2,3.2,92.1,2,19,6.06,8.1,7.61,7.29,6.85,12.0,17,4.2,0,18,28,64.3,1,9,44,0,89.9,41,481,74,6.5,54,4.09,2,2:59,0,8,71,5,40,1,1,50.0,15.4,28,11,14,3,12,6,50.0,0,0,,221,0,8,71,5,40,13,111,1,1,1,1,1,0,481,74,6.5,54,4.09,2,2:59,15,4,8,3,13,2,15.4,3,1,33.3,3,3,3,2,1,0,0,0
30,CLE,2015-12-20,136,1,94,0,1,241,182,25:27,Sun,14,15,@,SEA,L 13-30,19,32,13,59.4,1,1,3.1,3.1,69.9,3,25,8.57,4.3,3.89,3.47,3.17,7.2,36,5.1,0,21,30,70.0,3,2,8,0,127.2,17,230,52,4.42,68,6.22,1,2:56,0,4,40,5,30,2,3,50.0,75.0,15,5,9,1,12,6,50.0,0,0,,423,0,4,40,5,30,9,70,3,3,3,3,3,0,230,52,4.42,68,6.22,1,2:56,28,12,14,2,12,9,75.0,0,0,,1,1,1,2,2,0,0,0
