Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
146,BUF,2023-09-11,217,1,97,0,4,117,172,33:08,Mon,1,1,@,NYJ,L 16-22 (OT),29,41,12,70.7,217,1,3,2.4,7.3,62.7,5,19,10.87,5.3,4.72,2.49,2.22,7.5,28,172,6.1,0,14,22,63.6,117,1,3,23,1,73.5,22,97,4.4,0,314,68,4.62,53,5.45,4,33:08,2:58
147,BUF,2023-09-17,267,3,183,2,0,185,55,40:04,Sun,2,2,,LVR,W 38-10,31,37,6,83.8,267,3,0,8.1,0.0,124.5,2,7,5.13,7.2,6.85,8.84,8.38,8.6,15,55,3.7,0,16,24,66.7,185,1,0,0,2,68.9,35,183,5.2,2,450,74,6.08,39,6.15,0,40:04,2:49
148,BUF,2023-09-24,218,1,168,2,1,125,105,34:39,Sun,3,3,@,WAS,W 37-3,20,32,12,62.5,218,1,1,3.1,3.1,79.9,0,0,0.00,6.8,6.81,6.03,6.03,10.9,13,105,8.1,0,19,29,65.5,125,0,9,45,4,35.1,33,168,5.1,2,386,65,5.94,51,4.51,1,34:39,2:54
149,BUF,2023-10-01,310,4,104,2,0,251,142,30:22,Sun,4,4,,MIA,W 48-20,21,25,4,84.0,310,4,0,16.0,0.0,158.3,2,10,7.41,12.4,11.48,15.60,14.44,14.8,19,142,7.5,2,25,35,71.4,251,1,4,31,1,89.1,29,104,3.6,2,414,56,7.39,58,6.78,0,30:22,3:09
150,BUF,2023-10-08,359,2,29,1,2,278,196,21:48,Sun,5,5,,JAX,L 20-25,27,40,13,67.5,359,2,1,5.0,2.5,102.0,0,0,0.00,9.0,8.98,8.85,8.85,13.3,40,196,4.9,2,25,37,67.6,278,1,5,37,0,98.7,14,29,2.1,1,388,54,7.19,82,5.78,2,21:48,3:22
151,BUF,2023-10-15,169,2,128,0,2,185,132,28:36,Sun,6,6,,NYG,W 14-9,19,30,11,63.3,169,2,1,6.7,3.3,86.7,0,0,0.00,5.6,5.63,5.47,5.47,8.9,34,132,3.9,0,24,36,66.7,185,0,3,15,0,79.1,29,128,4.4,0,297,59,5.03,73,4.34,2,28:36,3:14
152,BUF,2023-10-22,258,2,81,1,2,268,96,32:14,Sun,7,7,@,NWE,L 25-29,27,41,14,65.9,258,2,1,4.9,2.4,90.0,1,7,2.38,6.3,6.14,6.17,6.02,9.6,24,96,4.0,1,25,30,83.3,268,2,1,4,0,126.1,24,81,3.4,1,339,66,5.14,55,6.62,2,32:14,3:02
153,BUF,2023-10-26,312,2,115,1,1,224,78,31:57,Thu,8,8,,TAM,W 24-18,31,40,9,77.5,312,2,1,5.0,2.5,106.7,2,12,4.76,7.8,7.43,7.68,7.31,10.1,17,78,4.6,0,25,42,59.5,224,2,3,13,0,89.8,26,115,4.4,1,427,68,6.28,62,4.87,1,31:57,3:07
154,BUF,2023-11-05,249,1,68,1,2,343,54,23:22,Sun,9,9,@,CIN,L 18-24,26,38,12,68.4,249,1,1,2.6,2.6,85.2,1,9,2.56,6.6,6.38,5.89,5.74,9.6,22,54,2.5,1,31,44,70.5,343,2,1,5,0,108.4,16,68,4.3,1,317,55,5.76,67,5.93,2,23:22,3:01
155,BUF,2023-11-13,177,1,192,2,4,178,122,22:39,Mon,10,10,,DEN,L 22-24,15,26,11,57.7,177,1,2,3.8,7.7,59.3,0,0,0.00,6.8,6.81,4.12,4.12,11.8,38,122,3.2,0,24,29,82.8,178,2,4,15,0,115.2,26,192,7.4,2,369,52,7.10,71,4.23,4,22:39,3:10
156,BUF,2023-11-19,263,3,130,0,1,92,63,36:51,Sun,11,11,,NYJ,W 32-6,20,32,12,62.5,263,3,1,9.4,3.1,108.2,1,12,3.03,8.2,7.97,8.69,8.42,13.2,18,63,3.5,0,15,30,50.0,92,1,6,40,2,39.9,38,130,3.4,0,393,71,5.54,54,2.87,1,36:51,3:23
157,BUF,2023-11-26,332,2,173,2,1,193,185,40:30,Sun,12,12,@,PHI,L 34-37 (OT),29,51,22,56.9,332,2,1,3.9,2.0,82.1,1,7,1.92,6.5,6.38,6.41,6.29,11.4,32,185,5.8,2,18,31,58.1,193,3,2,7,1,95.2,40,173,4.3,2,505,92,5.49,65,5.82,1,40:30,3:40
158,BUF,2023-12-10,209,1,118,1,1,264,82,35:21,Sun,13,14,@,KAN,W 20-17,23,42,19,54.8,209,1,1,2.4,2.4,68.8,3,24,6.67,5.0,4.64,4.38,4.09,9.1,18,82,4.6,1,25,43,58.1,264,1,1,7,1,74.2,28,118,4.2,1,327,73,4.48,62,5.58,1,35:21,3:16
159,BUF,2023-12-17,85,1,266,3,0,106,89,35:05,Sun,14,15,,DAL,W 31-10,7,15,8,46.7,85,1,0,6.7,0.0,89.3,1,9,6.25,5.7,5.31,7.00,6.56,12.1,20,89,4.5,1,21,34,61.8,106,0,3,28,1,54.3,49,266,5.4,3,351,65,5.40,57,3.42,0,35:05,2:43
160,BUF,2023-12-23,230,1,105,2,3,175,98,26:56,Sat,15,16,@,LAC,W 24-22,15,21,6,71.4,230,1,1,4.8,4.8,104.7,1,7,4.55,11.0,10.45,9.76,9.32,15.3,27,98,3.6,1,23,33,69.7,175,0,5,40,0,82.3,30,105,3.5,2,335,52,6.44,65,4.20,3,26:56,2:55
161,BUF,2023-12-31,154,0,127,2,1,191,103,32:52,Sun,16,17,,NWE,W 27-21,15,30,15,50.0,154,0,1,0.0,3.3,53.3,1,15,3.23,5.1,4.97,3.63,3.52,10.3,24,103,4.3,2,16,26,61.5,191,0,3,18,3,44.4,37,127,3.4,2,281,68,4.13,53,5.55,1,32:52,2:58
162,BUF,2024-01-07,345,2,128,0,3,167,108,38:07,Sun,17,18,@,MIA,W 21-14,30,38,8,78.9,345,2,2,5.3,5.3,101.6,3,14,7.32,9.1,8.41,7.76,7.20,11.5,20,108,5.4,1,17,27,63.0,167,1,1,6,2,61.8,36,128,3.6,0,473,77,6.14,48,5.73,3,38:07,3:00
