Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
21,GNB,2015-10-11,236,2,86,0,3,143,191,26:17,Sun,5,5,,LAR,W 24-10,19,30,11,63.3,2,2,6.7,6.7,82.8,2,5,6.25,7.9,7.38,6.2,5.81,12.4,36,5.3,0,12,31,38.7,1,3,18,4,24.7,27,322,59,5.46,70,4.77,3,3:14,4,7,67,8,40,1,1,30.8,27.8,14,4,9,1,13,4,30.8,1,0,0.0,334,4,7,67,8,40,15,107,1,1,1,4,1,0,322,59,5.46,70,4.77,3,3:14,17,8,8,1,18,5,27.8,1,1,100.0,3,3,3,1,1,0,0,0
22,GNB,2015-10-18,237,2,133,1,0,488,60,22:00,Sun,6,6,,LAC,W 27-20,16,29,13,55.2,2,0,6.9,0.0,107.7,3,18,9.38,8.2,7.41,9.55,8.66,14.8,21,2.9,0,43,65,66.2,2,3,15,0,98.7,17,370,49,7.55,89,6.16,0,3:29,1,6,50,9,76,2,2,33.3,50.0,17,3,11,3,9,3,33.3,0,0,,548,1,6,50,9,76,15,126,2,2,2,2,2,0,370,49,7.55,89,6.16,0,3:29,32,4,26,2,18,9,50.0,3,1,33.3,3,3,3,2,2,0,0,0
23,GNB,2015-11-01,50,0,90,1,0,340,160,26:33,Sun,7,8,@,DEN,L 10-29,14,22,8,63.6,0,0,0.0,0.0,69.7,3,27,12.0,2.3,2.0,2.27,2.0,3.6,34,4.7,3,21,29,72.4,0,0,0,1,96.9,21,140,46,3.04,63,7.94,0,2:52,1,2,15,11,93,1,2,25.0,50.0,14,7,3,4,8,2,25.0,0,0,,500,1,2,15,11,93,13,108,3,3,3,2,2,1,140,46,3.04,63,7.94,0,2:52,24,9,15,0,12,6,50.0,0,0,,1,1,1,1,1,0,0,0
24,GNB,2015-11-08,331,4,71,0,2,297,130,27:48,Sun,8,9,@,CAR,L 29-37,25,48,23,52.1,4,1,8.3,2.1,96.6,5,38,9.43,6.9,6.25,7.63,6.91,13.2,36,3.6,1,15,30,50.0,3,0,0,1,104.4,19,402,72,5.58,66,6.47,2,3:40,1,7,87,6,45,0,3,21.4,33.3,21,3,16,2,14,3,21.4,3,2,66.7,427,1,7,87,6,45,13,132,4,4,4,4,3,0,402,72,5.58,66,6.47,2,3:40,20,9,10,1,15,5,33.3,0,0,,4,3,3,0,0,1,1,0
25,GNB,2015-11-15,325,2,47,0,0,242,45,29:20,Sun,9,10,,DET,L 16-18,35,61,26,57.4,2,0,3.3,0.0,83.6,3,8,4.69,5.3,5.08,5.98,5.7,9.3,26,1.7,0,24,38,63.2,2,0,0,1,87.8,18,372,82,4.54,64,4.48,0,3:36,1,5,55,3,35,1,2,47.4,31.3,22,3,17,2,19,9,47.4,0,0,,287,1,5,55,3,35,8,90,2,2,0,2,2,0,372,82,4.54,64,4.48,0,3:36,16,2,13,1,16,5,31.3,1,1,100.0,2,1,1,2,1,1,0,0
26,GNB,2015-11-22,196,2,124,0,0,248,94,30:22,Sun,10,11,@,MIN,W 30-13,16,34,18,47.1,2,0,5.9,0.0,86.9,2,16,5.56,5.8,5.44,6.94,6.56,12.3,18,5.2,1,25,38,65.8,1,6,48,0,92.9,34,320,70,4.57,62,5.52,0,3:15,1,4,19,8,110,5,0,37.5,38.5,19,6,10,3,16,6,37.5,0,0,,342,1,4,19,8,110,12,129,2,2,1,0,0,0,320,70,4.57,62,5.52,0,3:15,16,5,11,0,13,5,38.5,2,0,0.0,2,1,1,5,5,1,1,0
27,GNB,2015-11-26,188,1,177,0,2,189,101,28:48,Thu,11,12,,CHI,L 13-17,22,43,21,51.2,1,1,2.3,2.3,62.4,2,14,4.44,4.4,4.18,3.79,3.62,8.5,31,3.3,1,19,31,61.3,1,1,11,0,89.3,28,365,73,5.0,63,4.6,2,3:18,0,3,38,12,95,2,1,27.3,35.7,23,9,9,5,11,3,27.3,2,0,0.0,290,0,3,38,12,95,15,133,2,2,2,1,1,0,365,73,5.0,63,4.6,2,3:18,17,4,12,1,14,5,35.7,0,0,,1,1,1,2,2,0,0,0
28,GNB,2015-12-03,246,2,67,1,1,205,101,26:56,Thu,12,13,@,DET,W 27-23,24,36,12,66.7,2,1,5.6,2.8,96.2,3,27,7.69,6.8,6.31,6.69,6.18,10.3,25,4.0,0,23,35,65.7,2,3,15,0,100.3,24,313,63,4.97,63,4.86,1,3:15,1,7,55,9,108,0,3,25.0,37.5,19,5,11,3,12,3,25.0,1,1,100.0,306,1,7,55,9,108,16,163,2,2,2,3,3,0,313,63,4.97,63,4.86,1,3:15,17,6,11,0,16,6,37.5,1,1,100.0,4,3,3,1,0,1,0,0
29,GNB,2015-12-13,205,2,230,2,0,99,171,37:48,Sun,13,14,,DAL,W 28-7,22,35,13,62.9,2,0,5.7,0.0,99.5,2,13,5.41,5.9,5.54,7.0,6.62,9.3,20,8.6,1,13,29,44.8,0,2,15,1,39.3,44,435,81,5.37,51,5.29,0,3:07,1,8,69,6,30,0,0,50.0,9.1,29,15,12,2,14,7,50.0,1,0,0.0,270,1,8,69,6,30,14,99,1,1,1,0,0,0,435,81,5.37,51,5.29,0,3:07,11,5,5,1,11,1,9.1,2,0,0.0,4,4,4,0,0,0,0,0
30,GNB,2015-12-20,190,1,103,1,2,252,120,29:29,Sun,14,15,@,LVR,W 30-20,22,39,17,56.4,1,1,2.6,2.6,68.8,2,14,4.88,4.9,4.63,4.23,4.02,8.6,25,4.8,0,23,47,48.9,2,3,24,2,61.7,28,293,69,4.25,75,4.96,2,3:35,2,6,75,10,95,3,2,30.8,29.4,18,3,11,4,13,4,30.8,0,0,,372,2,6,75,10,95,16,170,2,2,2,2,2,0,293,69,4.25,75,4.96,2,3:35,20,8,10,2,17,5,29.4,4,1,25.0,3,3,3,4,3,0,0,0
