Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers.1,Penalties.1,Penalty Yards.1,Opponent Penalties.1,Opponent Penalty Yards.1,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made.1,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers.1,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made.1,2PA,2PM,Safeties
27,MIA,2015-11-29,321,3,12,0,2,274,137,28:44,Sun,11,12,@,NYJ,L 20-38,33,58,25,56.9,3,1,5.2,1.7,84.8,3,30,4.92,5.5,5.26,5.79,5.51,9.7,34,4.0,1,22,37,59.5,4,1,3,0,118.5,9,333,70,4.76,72,5.71,2,3:29,0,6,45,6,40,0,1,26.7,58.8,20,0,19,1,15,4,26.7,2,2,100.0,411,0,6,45,6,40,12,85,5,5,5,1,1,0,333,70,4.76,72,5.71,2,3:29,24,10,13,1,17,10,58.8,1,0,0.0,3,3,2,0,0,0,0,0
28,MIA,2015-12-06,82,1,137,0,1,281,94,21:51,Sun,12,13,,BAL,W 15-13,9,19,10,47.4,1,0,5.3,0.0,78.0,1,4,5.0,4.3,4.1,5.37,5.1,9.1,26,3.6,0,32,46,69.6,1,3,27,2,74.6,26,219,46,4.76,75,5.0,1,2:59,2,5,31,5,36,0,2,30.8,35.7,8,5,3,0,13,4,30.8,0,0,,375,2,5,31,5,36,10,67,1,1,1,3,2,0,219,46,4.76,75,5.0,1,2:59,22,4,18,0,14,5,35.7,1,0,0.0,2,1,1,0,0,1,1,0
29,MIA,2015-12-14,235,1,128,2,1,337,92,29:29,Mon,13,14,,NYG,L 24-31,25,41,16,61.0,1,0,2.4,0.0,85.0,1,1,2.38,5.7,5.6,6.22,6.07,9.4,31,3.0,0,27,31,87.1,4,0,0,0,151.5,22,363,64,5.67,62,6.92,1,3:12,1,12,123,3,25,1,1,43.8,45.5,16,6,10,0,16,7,43.8,2,1,50.0,429,1,12,123,3,25,15,148,4,4,4,2,1,0,363,64,5.67,62,6.92,1,3:12,25,6,15,4,11,5,45.5,0,0,,3,3,3,1,1,0,0,0
30,MIA,2015-12-20,187,0,44,2,1,302,140,21:07,Sun,14,15,@,LAC,L 14-30,20,34,14,58.8,0,0,0.0,0.0,77.6,3,29,8.11,5.5,5.05,5.5,5.05,9.4,36,3.9,1,26,36,72.2,3,1,9,2,101.9,19,231,56,4.13,73,6.05,1,3:16,2,9,72,7,48,0,1,14.3,64.3,13,4,8,1,14,2,14.3,3,3,100.0,442,2,9,72,7,48,16,120,4,4,3,2,1,0,231,56,4.13,73,6.05,1,3:16,26,7,16,3,14,9,64.3,0,0,,2,2,2,0,0,0,0,0
31,MIA,2015-12-27,279,0,82,1,1,168,100,32:49,Sun,15,16,,IND,L 12-18,26,38,12,68.4,0,1,0.0,2.6,84.2,6,50,13.64,7.3,6.34,6.16,5.32,10.7,23,4.3,2,17,29,58.6,0,2,9,0,75.1,25,361,69,5.23,54,4.96,1,3:00,0,9,50,6,60,2,1,40.0,50.0,22,4,16,2,15,6,40.0,1,0,0.0,268,0,9,50,6,60,15,110,2,2,1,1,1,1,361,69,5.23,54,4.96,1,3:00,20,6,11,3,12,6,50.0,0,0,,1,0,0,2,2,1,0,0
32,MIA,2016-01-03,342,2,96,0,0,126,70,31:05,Sun,16,17,,NWE,W 20-10,25,38,13,65.8,2,0,5.3,0.0,112.8,1,8,2.56,9.0,8.77,10.05,9.79,13.7,27,2.6,1,13,25,52.0,0,2,14,0,66.4,34,438,73,6.0,54,3.63,0,3:06,0,10,93,7,41,2,1,47.1,28.6,20,4,16,0,17,8,47.1,1,0,0.0,196,0,10,93,7,41,17,134,1,1,1,2,1,0,438,73,6.0,54,3.63,0,3:06,12,4,3,5,14,4,28.6,1,0,0.0,2,2,2,3,2,0,0,0
33,MIA,2016-09-11,150,0,64,1,0,240,112,25:28,Sun,1,1,@,SEA,L 10-12,16,29,13,55.2,0,0,0.0,0.0,74.8,5,36,14.71,5.2,4.41,5.17,4.41,9.4,32,3.5,0,27,43,62.8,1,3,18,1,75.7,20,214,54,3.96,78,4.51,0,3:05,2,4,40,8,69,1,2,23.1,31.3,11,3,7,1,13,3,23.1,1,0,0.0,352,2,4,40,8,69,12,109,1,1,0,2,2,0,214,54,3.96,78,4.51,0,3:05,21,4,16,1,16,5,31.3,3,2,66.7,1,1,1,2,1,0,0,0
34,MIA,2016-09-18,387,2,70,1,4,302,161,23:14,Sun,2,2,@,NWE,L 24-31,32,45,13,71.1,2,2,4.4,4.4,93.5,0,0,0.0,8.6,8.6,7.49,7.49,12.1,38,4.2,1,24,35,68.6,3,2,22,0,123.7,16,457,61,7.49,75,6.17,4,3:08,1,5,49,7,65,1,1,50.0,50.0,23,2,19,2,10,5,50.0,1,0,0.0,463,1,5,49,7,65,12,114,4,4,4,2,1,0,457,61,7.49,75,6.17,4,3:08,29,11,15,3,14,7,50.0,0,0,,3,3,3,1,1,0,0,0
35,MIA,2016-09-25,311,3,115,1,3,261,169,29:12,Sun,3,3,,CLE,W 30-24 (OT),25,39,14,64.1,3,2,7.7,5.1,93.9,1,8,2.5,8.0,7.78,7.21,7.03,12.4,32,5.3,1,24,38,63.2,0,4,18,0,83.3,25,426,65,6.55,74,5.81,3,3:31,1,8,67,13,91,1,3,20.0,26.7,23,6,15,2,10,2,20.0,0,0,,430,1,8,67,13,91,21,158,2,1,1,6,3,0,426,65,6.55,74,5.81,3,3:31,21,8,10,3,15,4,26.7,0,0,,4,3,3,1,1,0,0,0
36,MIA,2016-09-29,160,1,62,0,2,285,77,21:58,Thu,4,4,@,CIN,L 7-22,15,25,10,60.0,1,1,4.0,4.0,80.2,5,29,16.67,6.4,5.33,5.4,4.5,10.7,37,2.1,0,22,31,71.0,1,1,11,0,110.3,13,222,43,5.16,69,5.25,2,2:51,0,7,68,6,40,0,5,18.2,20.0,8,3,5,0,11,2,18.2,1,0,0.0,362,0,7,68,6,40,13,108,1,1,1,5,5,0,222,43,5.16,69,5.25,2,2:51,19,4,13,2,15,3,20.0,1,1,100.0,1,1,1,0,0,0,0,0
