Home Team Name,Away Team Name,Winner,Home Team Total Yards,Away Team Total Yards,Home Team Turnovers,Away Team Turnovers
Tennessee Titans,Kansas City Chiefs,1,371,530,1,1
New York Jets,New York Giants,1,294,281,0,2
Indianapolis Colts,Miami Dolphins,0,300,229,3,2
Green Bay Packers,Carolina Panthers,1,388,401,0,2
Pittsburgh Steelers,Los Angeles Rams,1,273,306,2,4
Dallas Cowboys,Minnesota Vikings,0,443,364,1,0
San Francisco 49ers,Seattle Seahawks,0,302,336,3,4
Cleveland Browns,Pittsburgh Steelers,1,293,236,0,4
Carolina Panthers,Atlanta Falcons,0,347,349,4,0
Miami Dolphins,Buffalo Bills,0,303,424,1,0
Indianapolis Colts,Jacksonville Jaguars,1,389,308,2,1
Detroit Lions,Dallas Cowboys,0,312,509,0,1
Minnesota Vikings,Denver Broncos,1,321,394,2,1
Baltimore Ravens,Houston Texans,1,491,232,0,2
Tampa Bay Buccaneers,New Orleans Saints,0,334,328,4,0
Washington Redskins,New York Jets,0,225,400,1,2
San Francisco 49ers,Arizona Cardinals,1,442,266,2,2
Oakland Raiders,Cincinnati Bengals,1,386,246,2,2
Philadelphia Eagles,New England Patriots,0,255,298,1,0
Los Angeles Rams,Chicago Bears,1,283,267,2,1
Los Angeles Chargers,Kansas City Chiefs,0,438,310,4,1
Houston Texans,Indianapolis Colts,1,396,296,1,0
Atlanta Falcons,Tampa Bay Buccaneers,0,337,446,2,2
Buffalo Bills,Denver Broncos,1,424,134,1,1
New Orleans Saints,Carolina Panthers,1,418,351,1,1
Chicago Bears,New York Giants,1,335,243,2,1
Cincinnati Bengals,Pittsburgh Steelers,0,244,338,2,1
Cleveland Browns,Miami Dolphins,1,467,284,1,2
Washington Redskins,Detroit Lions,1,230,364,2,4
New York Jets,Oakland Raiders,1,401,208,1,2
Philadelphia Eagles,Seattle Seahawks,0,344,348,5,2
Tennessee Titans,Jacksonville Jaguars,1,471,369,2,1
New England Patriots,Dallas Cowboys,1,282,321,0,1
San Francisco 49ers,Green Bay Packers,1,339,198,0,1
Los Angeles Rams,Baltimore Ravens,0,221,480,2,0
Detroit Lions,Chicago Bears,0,364,419,1,1
Dallas Cowboys,Buffalo Bills,0,426,356,2,0
Atlanta Falcons,New Orleans Saints,0,348,279,3,0
Carolina Panthers,Washington Redskins,0,278,362,2,0
Cincinnati Bengals,New York Jets,1,277,271,0,0
Pittsburgh Steelers,Cleveland Browns,1,323,279,1,2
Indianapolis Colts,Tennessee Titans,0,391,292,3,2
New York Giants,Green Bay Packers,0,335,322,3,0
Jacksonville Jaguars,Tampa Bay Buccaneers,0,242,315,4,1
Miami Dolphins,Philadelphia Eagles,1,409,386,1,1
Baltimore Ravens,San Francisco 49ers,1,283,331,1,1
Arizona Cardinals,Los Angeles Rams,0,198,549,1,0
Denver Broncos,Los Angeles Chargers,1,218,359,1,2
Kansas City Chiefs,Oakland Raiders,1,259,332,0,3
Houston Texans,New England Patriots,1,276,448,0,1
Seattle Seahawks,Minnesota Vikings,1,444,354,2,3
Chicago Bears,Dallas Cowboys,1,382,408,2,0
Atlanta Falcons,Carolina Panthers,1,461,345,0,4
Buffalo Bills,Baltimore Ravens,0,209,257,1,1
Cleveland Browns,Cincinnati Bengals,1,333,451,2,1
Tampa Bay Buccaneers,Indianapolis Colts,1,542,309,4,1
Houston Texans,Denver Broncos,0,414,391,3,1
Minnesota Vikings,Detroit Lions,1,354,231,0,2
Green Bay Packers,Washington Redskins,1,341,262,1,1
New York Jets,Miami Dolphins,1,374,362,1,1
New Orleans Saints,San Francisco 49ers,0,465,516,1,1
Jacksonville Jaguars,Los Angeles Chargers,0,252,525,0,0
Arizona Cardinals,Pittsburgh Steelers,0,236,275,3,2
New England Patriots,Kansas City Chiefs,0,278,346,1,2
Oakland Raiders,Tennessee Titans,0,355,552,1,1
Los Angeles Rams,Seattle Seahawks,1,455,308,2,1
Philadelphia Eagles,New York Giants,1,418,255,1,0
Baltimore Ravens,New York Jets,1,430,310,0,2
Carolina Panthers,Seattle Seahawks,0,414,428,3,1
Green Bay Packers,Chicago Bears,1,292,415,0,3
Cincinnati Bengals,New England Patriots,0,315,291,5,0
Kansas City Chiefs,Denver Broncos,1,419,251,1,1
Detroit Lions,Tampa Bay Buccaneers,0,295,495,3,1
Tennessee Titans,Houston Texans,0,432,374,1,2
New York Giants,Miami Dolphins,1,412,384,3,1
Washington Redskins,Philadelphia Eagles,0,352,415,1,1
Arizona Cardinals,Cleveland Browns,1,445,393,1,2
Oakland Raiders,Jacksonville Jaguars,0,364,262,0,0
Los Angeles Chargers,Minnesota Vikings,0,345,344,7,1
San Francisco 49ers,Atlanta Falcons,0,313,290,2,1
Dallas Cowboys,Los Angeles Rams,1,475,289,0,1
Pittsburgh Steelers,Buffalo Bills,0,229,261,5,2
New Orleans Saints,Indianapolis Colts,1,424,205,0,0
Tampa Bay Buccaneers,Houston Texans,0,435,229,5,2
New England Patriots,Buffalo Bills,1,414,268,1,0
San Francisco 49ers,Los Angeles Rams,1,334,395,2,1
Atlanta Falcons,Jacksonville Jaguars,1,518,288,2,1
Indianapolis Colts,Carolina Panthers,1,324,286,0,3
Miami Dolphins,Cincinnati Bengals,1,502,430,1,1
Cleveland Browns,Baltimore Ravens,0,241,481,1,1
Tennessee Titans,New Orleans Saints,0,397,377,1,0
Washington Redskins,New York Giants,0,361,552,0,0
New York Jets,Pittsburgh Steelers,1,259,260,1,2
Denver Broncos,Detroit Lions,1,348,191,0,0
Los Angeles Chargers,Oakland Raiders,0,284,366,0,0
Seattle Seahawks,Arizona Cardinals,0,224,412,1,0
Philadelphia Eagles,Dallas Cowboys,1,431,311,0,1
Chicago Bears,Kansas City Chiefs,0,234,350,0,0
Minnesota Vikings,Green Bay Packers,0,139,383,1,3
Tampa Bay Buccaneers,Atlanta Falcons,0,329,373,3,1
Buffalo Bills,New York Jets,0,309,271,3,1
Carolina Panthers,New Orleans Saints,0,329,379,3,0
Minnesota Vikings,Chicago Bears,0,300,337,3,1
Cincinnati Bengals,Cleveland Browns,1,361,313,1,3
Detroit Lions,Green Bay Packers,0,305,432,1,1
Kansas City Chiefs,Los Angeles Chargers,1,336,366,1,2
New England Patriots,Miami Dolphins,0,352,389,2,0
Jacksonville Jaguars,Indianapolis Colts,1,353,275,1,2
Los Angeles Rams,Arizona Cardinals,1,424,393,0,5
Dallas Cowboys,Washington Redskins,1,517,271,1,2
Denver Broncos,Oakland Raiders,1,238,477,1,1
Houston Texans,Tennessee Titans,0,301,467,1,0
New York Giants,Philadelphia Eagles,0,397,400,2,0
Baltimore Ravens,Pittsburgh Steelers,1,304,168,2,2
Seattle Seahawks,San Francisco 49ers,0,348,398,0,0
