,,,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,,,,,,,,,,,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,Penalties,Penalties,,Kicking,Kicking,Kicking,Kicking,,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,,PAT,PAT,FG,FG,,,
Rk,Team,Date,TO,TO,Pen,Yds,OppPen,OppYds,FGM,Md,3D%,Opp3D%,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Tot,TO,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,TD,XPA,XPM,Att,Md,Sfty,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
61,ARI,2017-12-10,0,2,5,30,6,48,4,0,21.4,33.3,Sun,13,14,,TEN,W 12-7,16,5,9,2,14,3,21.4,0,0,,204,2,5,30,6,48,11,78,1,1,1,1,0,0,261,63,4.14,56,3.64,0,33:49,2:58,14,3,9,2,12,4,33.3,2,0,0.0,0,0,0,5,4,0,0,0
62,ARI,2017-12-17,2,1,8,71,7,82,5,2,21.1,11.1,Sun,14,15,@,WAS,L 15-20,19,8,8,3,19,4,21.1,3,2,66.7,218,1,8,71,7,82,15,153,2,2,2,2,2,0,286,80,3.58,47,4.64,2,36:16,3:04,14,1,10,3,9,1,11.1,0,0,,0,0,0,5,5,0,0,0
63,ARI,2017-12-24,2,3,6,45,10,101,1,0,35.7,7.1,Sun,15,16,,NYG,W 23-0,19,4,13,2,14,5,35.7,0,0,,293,3,6,45,10,101,16,146,0,0,0,1,0,0,289,64,4.52,67,4.37,2,33:13,3:04,12,0,12,0,14,1,7.1,4,1,25.0,3,3,2,1,1,0,0,0
64,ARI,2017-12-31,1,0,4,25,8,100,4,1,28.6,8.3,Sun,16,17,@,SEA,W 26-24,19,7,9,3,14,4,28.6,0,0,,296,0,4,25,8,100,12,125,3,3,3,2,1,0,259,68,3.81,54,5.48,1,32:16,3:17,13,3,9,1,12,1,8.3,1,1,100.0,2,2,2,4,4,0,0,0
65,ARI,2018-09-09,2,1,9,67,9,63,0,1,12.5,46.2,Sun,1,1,,WAS,L 6-24,14,7,6,1,8,1,12.5,1,0,0.0,429,1,9,67,9,63,18,130,3,3,3,1,1,0,213,51,4.18,75,5.72,2,21:52,2:57,30,10,13,7,13,6,46.2,1,1,100.0,1,0,0,0,0,1,0,0
66,ARI,2018-09-16,1,1,9,47,5,49,0,1,25.0,53.3,Sun,2,2,@,LAR,L 0-34,5,1,4,0,12,3,25.0,1,1,100.0,432,1,9,47,5,49,14,96,4,1,1,1,1,0,137,43,3.19,67,6.45,1,25:52,2:45,24,8,14,2,15,8,53.3,3,1,33.3,0,0,0,0,0,0,0,0
67,ARI,2018-09-23,4,2,6,43,7,45,0,3,30.0,35.7,Sun,3,3,,CHI,L 14-16,13,3,8,2,10,3,30.0,1,0,0.0,316,2,6,43,7,45,13,88,1,1,1,4,3,0,221,48,4.60,69,4.58,4,23:39,3:07,21,7,11,3,14,5,35.7,1,1,100.0,2,2,2,0,0,0,0,0
68,ARI,2018-09-30,1,0,5,38,8,57,1,2,41.7,0.0,Sun,4,4,,SEA,L 17-20,18,6,9,3,12,5,41.7,0,0,,331,0,5,38,8,57,13,95,2,2,2,4,2,0,263,56,4.70,62,5.34,1,28:14,3:05,19,11,6,2,10,0,0.0,2,1,50.0,2,2,2,3,1,0,0,0
69,ARI,2018-10-07,0,5,5,46,9,65,0,0,16.7,58.8,Sun,5,5,@,SFO,W 28-18,10,4,5,1,12,2,16.7,0,0,,447,5,5,46,9,65,14,111,3,0,0,1,0,0,220,49,4.49,92,4.86,0,19:48,3:17,33,9,22,2,17,10,58.8,2,1,50.0,4,4,4,0,0,0,0,0
70,ARI,2018-10-14,2,2,5,30,9,52,1,2,0.0,35.7,Sun,6,6,@,MIN,L 17-27,16,5,9,2,10,0,0.0,2,0,0.0,411,2,5,30,9,52,14,82,3,3,3,2,2,0,268,55,4.87,70,5.87,2,25:38,3:01,20,8,12,0,14,5,35.7,1,0,0.0,2,2,2,1,1,0,0,0
