Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
45,NOR,2016-12-11,3,0,13,104,7,65,3,3,30.8,46.2,Sun,13,14,@,TAM,L 11-16,14,2,10,2,13,4,30.8,2,1,50.0,270,0,13,104,7,65,20,169,1,1,1,3,3,0,294,58,5.07,63,4.29,3,26:45,3:01,21,5,11,5,13,6,46.2,0,0,,0,0,0,3,3,0,0,1
46,NOR,2016-12-18,1,2,5,46,7,52,2,0,64.3,50.0,Sun,14,15,@,ARI,W 48-41,33,10,20,3,14,9,64.3,1,1,100.0,425,2,5,46,7,52,12,98,6,6,5,1,0,0,488,83,5.88,56,7.59,1,37:13,3:21,26,7,17,2,10,5,50.0,1,1,100.0,6,6,6,2,2,0,0,0
47,NOR,2016-12-24,0,2,7,59,7,63,3,1,41.7,58.3,Sat,15,16,,TAM,W 31-24,25,9,15,1,12,5,41.7,0,0,,349,2,7,59,7,63,14,122,3,3,3,1,1,0,417,67,6.22,58,6.02,0,31:36,2:58,23,5,15,3,12,7,58.3,0,0,,3,2,2,3,3,1,1,0
48,NOR,2017-01-01,1,0,6,70,9,63,2,1,43.8,54.5,Sun,16,17,@,ATL,L 32-38,26,8,16,2,16,7,43.8,3,3,100.0,465,0,6,70,9,63,15,133,5,5,5,1,1,0,473,75,6.31,59,7.88,1,30:15,3:17,25,4,19,2,11,6,54.5,0,0,,4,2,2,2,2,2,0,0
49,NOR,2017-09-11,0,0,6,52,5,50,4,3,36.4,64.3,Mon,1,1,@,MIN,L 19-29,19,3,14,2,11,4,36.4,0,0,,470,0,6,52,5,50,11,102,3,3,2,3,3,0,344,59,5.83,63,7.46,0,28:44,2:55,23,5,14,4,14,9,64.3,0,0,,1,1,1,4,4,0,0,0
50,NOR,2017-09-17,0,0,5,35,9,66,2,3,33.3,50.0,Sun,2,2,,NWE,L 20-36,20,5,15,0,12,4,33.3,2,1,50.0,555,0,5,35,9,66,14,101,4,4,3,3,3,0,429,63,6.81,72,7.71,0,24:54,3:06,29,8,19,2,12,6,50.0,0,0,,2,2,2,3,2,0,0,0
51,NOR,2017-09-24,0,3,1,10,1,5,2,2,50.0,50.0,Sun,3,3,@,CAR,W 34-13,21,9,12,0,12,6,50.0,0,0,,288,3,1,10,1,5,2,15,1,1,1,2,2,0,362,57,6.35,59,4.88,0,31:09,2:52,18,11,7,0,14,7,50.0,0,0,,4,4,4,3,2,0,0,0
52,NOR,2017-10-01,0,1,8,71,11,90,2,0,46.2,12.5,Sun,4,4,@,MIA,W 20-0,22,4,16,2,13,6,46.2,2,1,50.0,186,1,8,71,11,90,19,161,0,0,0,0,0,0,347,70,4.96,47,3.96,0,34:28,3:04,11,3,7,1,8,1,12.5,1,0,0.0,2,2,2,3,2,0,0,0
53,NOR,2017-10-15,3,5,13,118,7,46,1,1,16.7,50.0,Sun,5,6,,DET,W 52-38,19,9,9,1,12,2,16.7,1,1,100.0,347,5,13,118,7,46,20,164,5,5,5,2,1,0,379,67,5.66,76,4.57,3,32:11,3:47,18,2,14,2,18,9,50.0,1,0,0.0,7,7,7,1,1,0,0,0
54,NOR,2017-10-22,2,1,7,80,8,54,2,1,53.3,36.4,Sun,6,7,@,GNB,W 26-17,25,7,16,2,15,8,53.3,1,1,100.0,260,1,7,80,8,54,15,134,2,2,2,2,1,0,485,75,6.47,50,5.20,2,36:56,2:58,16,8,4,4,11,4,36.4,0,0,,3,3,2,2,2,0,0,0
