Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
110,JAX,2020-12-20,205,2,62,0,1,250,159,28:12,Sun,14,15,@,BAL,L 14-40,22,29,7,75.9,2,0,6.9,0.0,120.8,5,21,14.71,7.1,6.03,8.45,7.21,9.3,37,4.3,2,19,26,73.1,3,1,0,1,125.5,22,267,56,4.77,64,6.39,1,2:57
111,JAX,2020-12-27,203,2,76,0,2,263,128,27:00,Sun,15,16,,CHI,L 17-41,24,37,13,64.9,2,2,5.4,5.4,75.4,1,8,2.63,5.5,5.34,4.14,4.03,8.5,33,3.9,3,24,36,66.7,2,1,2,1,95.0,16,279,54,5.17,70,5.59,2,2:57
112,JAX,2021-01-03,230,2,53,0,1,164,273,26:22,Sun,16,17,@,IND,L 14-28,26,42,16,61.9,2,0,4.8,0.0,95.4,6,31,12.5,5.5,4.79,6.43,5.63,8.8,37,7.4,2,17,27,63.0,1,0,0,1,76.8,17,283,65,4.35,64,6.83,1,2:56
113,JAX,2021-09-12,319,3,76,0,3,289,160,24:56,Sun,1,1,@,HOU,L 21-37,28,51,23,54.9,3,3,5.9,5.9,70.1,1,13,1.92,6.3,6.13,4.78,4.69,11.4,41,3.9,2,21,33,63.6,2,1,2,0,111.8,16,395,68,5.81,75,5.99,3,3:24
114,JAX,2021-09-19,114,1,75,0,2,302,96,21:08,Sun,2,2,,DEN,L 13-23,14,33,19,42.4,1,2,3.0,6.1,37.2,1,4,2.94,3.5,3.35,1.33,1.29,8.1,30,3.2,0,26,34,76.5,2,3,26,0,122.4,16,189,50,3.78,67,5.94,2,3:06
115,JAX,2021-09-26,202,1,159,1,4,316,91,27:06,Sun,3,3,,ARI,L 19-31,22,34,12,64.7,1,2,2.9,5.9,68.1,3,17,8.11,5.9,5.46,3.88,3.57,9.2,30,3.0,3,28,34,82.4,0,0,0,1,93.1,29,361,66,5.47,64,6.36,4,3:03
116,JAX,2021-09-30,202,0,139,3,0,342,78,28:45,Thu,4,4,@,CIN,L 21-24,17,24,7,70.8,0,0,0.0,0.0,96.5,1,2,4.0,8.4,8.08,8.42,8.08,11.9,22,3.5,1,25,32,78.1,2,1,6,0,132.0,30,341,55,6.2,55,7.64,0,2:59
117,JAX,2021-10-10,256,1,198,2,2,184,184,28:30,Sun,5,5,,TEN,L 19-37,23,33,10,69.7,1,1,3.0,3.0,92.1,2,17,5.71,7.8,7.31,7.0,6.6,11.1,36,5.1,3,14,22,63.6,1,3,13,0,105.1,31,454,66,6.88,61,6.03,2,3:07
118,JAX,2021-10-17,312,1,84,1,1,354,77,27:20,Sun,6,6,,MIA,W 23-20,25,41,16,61.0,1,0,2.4,0.0,93.4,2,7,4.65,7.6,7.26,8.1,7.72,12.5,20,3.9,0,34,48,70.8,2,0,0,1,97.0,19,396,62,6.39,68,6.34,1,3:12
119,JAX,2021-10-31,227,1,82,0,1,160,69,31:29,Sun,7,8,@,SEA,L 7-31,32,54,22,59.3,1,1,1.9,1.9,68.3,1,11,1.82,4.2,4.13,3.74,3.67,7.1,25,2.8,1,20,24,83.3,2,3,35,0,122.2,19,309,74,4.18,52,4.4,1,2:55
