Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
28,PIT,2015-12-06,364,4,158,0,2,186,54,32:50,Sun,12,13,,IND,W 45-10,24,39,15,61.5,4,0,10.3,0.0,126.4,0,0,0.0,9.3,9.33,11.38,11.38,15.2,18,3.0,0,20,34,58.8,1,5,34,2,59.2,32,522,71,7.35,57,4.21,2,3:05
29,PIT,2015-12-13,270,0,84,2,1,321,64,35:47,Sun,13,14,@,CIN,W 33-20,30,39,9,76.9,0,1,0.0,2.6,85.6,2,12,4.88,6.9,6.59,5.77,5.49,9.0,16,4.0,0,25,37,67.6,2,3,18,3,78.8,28,354,69,5.13,56,6.88,1,3:10
30,PIT,2015-12-20,354,3,23,1,2,281,104,31:16,Sun,14,15,,DEN,W 34-27,40,55,15,72.7,3,2,5.5,3.6,94.5,3,26,5.17,6.4,6.1,5.89,5.59,8.9,25,4.2,1,21,44,47.7,3,2,15,1,81.7,17,377,75,5.03,71,5.42,2,3:31
31,PIT,2015-12-27,198,0,110,2,3,265,121,25:40,Sun,15,16,@,BAL,L 17-20,24,34,10,70.6,0,2,0.0,5.9,63.4,3,22,8.11,5.8,5.35,3.18,2.92,8.3,31,3.9,1,28,41,68.3,1,1,9,0,94.1,20,308,57,5.4,73,5.29,3,3:04
32,PIT,2016-01-03,349,3,30,0,3,177,86,26:03,Sun,16,17,@,CLE,W 28-12,24,36,12,66.7,3,2,8.3,5.6,102.7,0,0,0.0,9.7,9.69,8.86,8.86,14.5,23,3.7,0,24,46,52.2,0,7,63,2,43.5,19,379,55,6.89,76,3.46,3,3:08
33,PIT,2016-09-12,290,3,147,2,1,329,55,33:18,Mon,1,1,@,WAS,W 38-16,27,37,10,73.0,3,1,8.1,2.7,112.4,1,10,2.63,7.8,7.63,8.24,8.03,10.7,12,4.6,1,30,43,69.8,0,0,0,2,72.7,30,437,68,6.43,55,6.98,1,2:56
34,PIT,2016-09-18,250,3,124,0,2,366,46,32:55,Sun,2,2,,CIN,W 24-16,19,37,18,51.4,3,2,8.1,5.4,78.5,1,9,2.63,6.8,6.58,5.95,5.79,13.2,18,2.6,0,31,54,57.4,1,1,0,0,84.3,36,374,74,5.05,73,5.64,2,3:14
35,PIT,2016-09-25,222,0,29,0,2,301,125,25:04,Sun,3,3,@,PHI,L 3-34,24,44,20,54.5,0,1,0.0,2.3,62.4,4,35,8.33,5.0,4.63,4.02,3.69,9.3,30,4.2,2,23,31,74.2,2,0,0,0,125.9,10,251,58,4.33,61,6.98,2,2:56
36,PIT,2016-10-02,287,5,149,1,0,270,87,29:24,Sun,4,4,,KAN,W 43-14,22,27,5,81.5,5,0,18.5,0.0,152.5,2,13,6.9,10.6,9.9,14.33,13.34,13.0,18,4.8,0,30,50,60.0,2,4,17,1,79.6,26,436,55,7.93,72,4.96,0,3:12
37,PIT,2016-10-09,375,4,61,0,1,244,72,31:50,Sun,5,5,,NYJ,W 31-13,34,47,13,72.3,4,0,8.5,0.0,124.4,1,5,2.08,8.0,7.81,9.68,9.48,11.0,17,4.2,0,25,38,65.8,1,3,11,0,92.4,24,436,72,6.06,58,5.45,1,3:00
