Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
30,SFO,2015-12-20,4,1,11,98,6,45,0,1,14.3,28.6,Sun,14,15,,CIN,L 14-24,17,4,12,1,14,2,14.3,2,2,100.0,242,1,11,98,6,45,17,143,3,3,3,1,1,0,318,71,4.48,61,3.97,4,29:01,3:17,14,5,7,2,14,4,28.6,1,0,0.0,2,2,2,1,0,0,0,0
31,SFO,2015-12-27,1,0,11,65,7,71,1,4,11.1,33.3,Sun,15,16,@,DET,L 17-32,20,6,11,3,9,1,11.1,2,0,0.0,371,0,11,65,7,71,18,136,3,2,2,4,4,0,322,59,5.46,67,5.54,1,23:30,3:15,26,8,15,3,12,4,33.3,1,1,100.0,2,2,2,2,1,0,0,0
32,SFO,2016-01-03,1,0,7,60,11,105,4,3,44.4,23.1,Sun,16,17,,STL,W 19-16 (OT),21,5,13,3,18,8,44.4,1,0,0.0,364,0,7,60,11,105,18,165,1,1,1,5,3,0,458,78,5.87,71,5.13,1,33:03,3:25,21,9,11,1,13,3,23.1,1,0,0.0,1,1,1,4,4,0,0,0
33,SFO,2016-09-12,1,2,2,10,10,102,0,0,47.1,20.0,Mon,1,1,,LAR,W 28-0,28,11,10,7,17,8,47.1,2,1,50.0,185,2,2,10,10,102,12,112,0,0,0,0,0,0,320,77,4.16,60,3.08,1,32:10,3:05,10,4,6,0,15,3,20.0,2,1,50.0,4,4,4,0,0,0,0,0
34,SFO,2016-09-18,3,4,6,50,8,50,2,4,28.6,46.7,Sun,2,2,@,CAR,L 27-46,16,3,13,0,14,4,28.6,1,0,0.0,529,4,6,50,8,50,14,100,5,5,4,4,4,0,302,64,4.72,78,6.78,3,24:06,3:43,26,8,15,3,15,7,46.7,0,0,,3,3,3,2,2,0,0,0
35,SFO,2016-09-25,1,2,4,35,6,50,1,3,26.7,64.3,Sun,3,3,@,SEA,L 18-37,12,6,6,0,15,4,26.7,1,1,100.0,418,2,4,35,6,50,10,85,4,4,4,3,3,0,254,56,4.54,65,6.43,1,24:03,2:59,18,7,10,1,14,9,64.3,0,0,,2,1,1,2,1,1,1,0
36,SFO,2016-10-02,1,0,5,32,6,45,1,1,57.1,42.9,Sun,4,4,,DAL,L 17-24,14,6,8,0,14,8,57.1,1,0,0.0,428,0,5,32,6,45,11,77,3,3,3,2,1,0,295,53,5.57,73,5.86,1,23:33,2:59,26,12,11,3,14,6,42.9,0,0,,2,2,2,1,1,0,0,0
37,SFO,2016-10-06,3,0,4,34,7,50,0,1,28.6,31.3,Thu,5,5,,ARI,L 21-33,25,10,12,3,14,4,28.6,1,1,100.0,288,0,4,34,7,50,11,84,4,4,4,1,1,1,286,74,3.86,66,4.36,3,28:16,3:06,17,10,6,1,16,5,31.3,0,0,,3,3,3,0,0,0,0,0
38,SFO,2016-10-16,1,2,6,52,7,71,3,1,23.1,61.5,Sun,6,6,@,BUF,L 16-45,16,8,7,1,13,3,23.1,2,0,0.0,492,2,6,52,7,71,13,123,6,6,6,1,1,0,300,60,5.00,74,6.65,1,24:49,3:14,29,16,10,3,13,8,61.5,0,0,,1,1,1,3,3,0,0,0
39,SFO,2016-10-23,3,1,4,31,7,78,1,2,40.0,42.9,Sun,7,7,,TAM,L 17-34,20,11,8,1,15,6,40.0,1,1,100.0,513,1,4,31,7,78,11,109,4,4,4,3,2,0,273,66,4.14,73,7.03,3,26:11,3:14,27,8,17,2,14,6,42.9,1,0,0.0,2,2,2,1,1,0,0,0
