,,,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,,,,,,,,,,,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,Penalties,Penalties,,Kicking,Kicking,Kicking,Kicking,,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,,PAT,PAT,FG,FG,,,
Rk,Team,Date,TO,TO,Pen,Yds,OppPen,OppYds,FGM,Md,3D%,Opp3D%,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Tot,TO,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,TD,XPA,XPM,Att,Md,Sfty,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
36,CIN,2016-09-29,0,2,6,40,7,68,5,0,20.0,18.2,Thu,4,4,,MIA,W 22-7,19,4,13,2,15,3,20.0,1,1,100.0,222,2,6,40,7,68,13,108,1,1,1,0,0,0,362,69,5.25,43,5.16,0,38:02,2:51,8,3,5,0,11,2,18.2,1,0,0.0,1,1,1,5,5,0,0,0
37,CIN,2016-10-09,0,1,6,49,7,45,0,0,41.7,50.0,Sun,5,5,@,DAL,L 14-28,27,7,16,4,12,5,41.7,1,1,100.0,402,1,6,49,7,45,13,94,4,4,4,0,0,0,345,64,5.39,54,7.44,0,32:17,2:47,21,8,12,1,8,4,50.0,0,0,,2,2,2,1,0,0,0,0
38,CIN,2016-10-16,0,0,7,46,6,55,1,2,41.7,40.0,Sun,6,6,@,NWE,L 17-35,20,7,12,1,12,5,41.7,2,1,50.0,437,0,7,46,6,55,13,101,4,4,3,2,2,1,357,65,5.49,61,7.16,0,32:03,3:03,25,5,17,3,10,4,40.0,1,1,100.0,2,2,2,1,1,0,0,0
39,CIN,2016-10-23,1,2,3,30,5,35,1,1,50.0,42.9,Sun,7,7,,CLE,W 31-17,23,11,12,0,10,5,50.0,0,0,,352,2,3,30,5,35,8,65,2,2,2,1,1,0,559,61,9.16,63,5.59,1,28:12,2:50,22,10,11,1,14,6,42.9,0,0,,4,4,4,3,1,0,0,0
40,CIN,2016-10-30,2,1,7,85,15,106,0,2,53.3,47.1,Sun,8,8,,WAS,T 27-27 (OT),35,10,17,8,15,8,53.3,0,0,,546,1,7,85,15,106,22,191,3,3,3,4,2,0,415,81,5.12,88,6.20,2,35:18,3:56,30,2,24,4,17,8,47.1,2,0,0.0,4,4,3,1,0,0,0,0
41,CIN,2016-11-14,1,2,9,60,2,15,2,0,18.2,42.9,Mon,9,10,@,NYG,L 20-21,12,4,7,1,11,2,18.2,0,0,,351,2,9,60,2,15,11,75,3,3,3,0,0,0,264,55,4.80,72,4.88,1,28:37,3:12,23,5,15,3,14,6,42.9,2,1,50.0,2,2,2,2,2,0,0,0
42,CIN,2016-11-20,2,1,4,25,9,75,0,3,53.3,25.0,Sun,10,11,,BUF,L 12-16,23,7,13,3,15,8,53.3,0,0,,342,1,4,25,9,75,13,100,1,1,1,3,3,0,300,71,4.23,63,5.43,2,27:49,3:05,20,12,7,1,12,3,25.0,1,1,100.0,2,2,0,0,0,0,0,0
43,CIN,2016-11-27,2,1,2,15,8,69,2,4,31.3,31.3,Sun,11,12,@,BAL,L 14-19,22,3,15,4,16,5,31.3,1,1,100.0,311,1,2,15,8,69,10,84,1,1,1,4,4,0,325,71,4.58,68,4.57,2,28:43,3:05,16,4,12,0,16,5,31.3,2,1,50.0,1,1,0,2,2,0,0,1
44,CIN,2016-12-04,2,3,3,23,10,88,4,0,50.0,47.1,Sun,12,13,,PHI,W 32-14,21,4,13,4,14,7,50.0,0,0,,359,3,3,23,10,88,13,111,2,2,2,1,0,0,412,64,6.44,80,4.49,2,28:02,3:03,22,5,17,0,17,8,47.1,5,3,60.0,3,3,2,4,4,0,0,0
45,CIN,2016-12-11,0,1,6,43,5,34,1,1,53.3,42.9,Sun,13,14,@,CLE,W 23-10,21,9,12,0,15,8,53.3,0,0,,254,1,6,43,5,34,11,77,1,1,1,1,1,0,360,70,5.14,53,4.79,0,34:53,2:54,13,6,6,1,14,6,42.9,1,1,100.0,3,3,2,2,1,0,0,0
