Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards per Attempt,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
83,ATL,2019-09-22,304,3,93,0,1,300,79,28:37,Sun,3,3,@,IND,L 24-27,29,34,5,85.3,3,1,8.8,2.9,121.1,0,0,0.00,8.9,8.94,9.38,9.38,10.5,24,3.3,1,28,37,75.7,2,1,10,0,116.9,20,4.7,397,54,7.35,62,6.11,1,2:59
84,ATL,2019-09-29,364,0,58,1,1,227,138,30:41,Sun,4,4,,TEN,L 10-24,35,53,18,66.0,0,0,0.0,0.0,88.3,5,33,8.62,6.9,6.28,6.87,6.28,10.4,34,4.1,0,18,27,66.7,3,0,0,0,129.7,17,3.4,422,75,5.63,61,5.98,1,2:57
85,ATL,2019-10-06,316,3,57,1,1,426,166,29:00,Sun,5,5,@,HOU,L 32-53,32,46,14,69.6,3,1,6.5,2.2,102.6,2,14,4.17,6.9,6.58,7.20,6.90,9.9,34,4.9,1,28,33,84.8,5,0,0,0,158.3,20,2.9,373,68,5.49,67,8.84,1,3:13
86,ATL,2019-10-13,341,4,103,0,0,340,102,32:47,Sun,6,6,@,ARI,L 33-34,30,36,6,83.3,4,0,11.1,0.0,144.9,2,15,5.26,9.5,8.97,11.69,11.08,11.4,29,3.5,1,27,37,73.0,3,0,0,0,128.2,25,4.1,444,63,7.05,66,6.70,0,3:07
87,ATL,2019-10-20,186,1,38,0,3,291,90,22:51,Sun,7,7,,LAR,L 10-37,22,33,11,66.7,1,1,3.0,3.0,83.4,5,38,13.16,5.6,4.89,4.88,4.24,8.5,36,2.5,1,23,38,60.5,2,0,0,0,102.0,15,2.5,224,53,4.23,74,5.15,3,3:03
88,ATL,2019-10-27,441,1,69,1,3,171,151,30:47,Sun,8,8,,SEA,L 20-27,39,52,13,75.0,1,1,1.9,1.9,99.8,2,19,3.70,8.5,8.17,8.00,7.70,11.3,33,4.6,1,14,20,70.0,2,2,11,0,129.4,17,4.1,510,71,7.18,55,5.85,3,3:00
89,ATL,2019-11-10,174,2,143,0,1,258,52,33:46,Sun,9,10,@,NOR,W 26-9,20,35,15,57.1,2,1,5.7,2.9,78.5,1,8,2.78,5.0,4.83,4.83,4.69,8.7,11,4.7,0,33,46,71.7,0,6,46,0,85.2,34,4.2,317,70,4.53,63,4.92,1,3:10
90,ATL,2019-11-17,295,1,54,1,0,270,77,31:26,Sun,10,11,@,CAR,W 29-3,22,32,10,68.8,1,0,3.1,0.0,110.7,3,19,8.57,9.2,8.43,9.84,9.00,13.4,15,5.1,0,31,50,62.0,0,5,55,4,42.9,26,2.1,349,61,5.72,70,4.96,0,3:04
91,ATL,2019-11-24,280,1,57,1,2,313,133,31:38,Sun,11,12,,TAM,L 22-35,28,55,27,50.9,1,1,1.8,1.8,67.7,6,46,9.84,5.1,4.59,4.64,4.18,10.0,34,3.9,1,18,28,64.3,3,0,0,2,108.2,19,3.0,337,80,4.21,62,7.19,2,3:22
92,ATL,2019-11-28,259,2,89,0,3,184,95,35:37,Thu,12,13,,NOR,L 18-26,35,50,15,70.0,2,2,4.0,4.0,83.1,9,53,15.25,5.2,4.39,4.18,3.54,7.4,18,5.3,1,18,31,58.1,1,0,0,0,86.0,26,3.4,348,85,4.09,49,5.69,3,3:12
93,ATL,2019-12-08,302,2,159,2,0,245,100,31:44,Sun,13,14,,CAR,W 40-20,20,34,14,58.8,2,0,5.9,0.0,109.1,1,11,2.86,8.9,8.63,10.06,9.77,15.1,22,4.5,1,28,41,68.3,1,5,48,2,71.7,32,5.0,461,67,6.88,68,5.07,0,3:11
94,ATL,2019-12-15,201,2,89,1,1,193,120,29:12,Sun,14,15,@,SFO,W 29-22,25,39,14,64.1,2,0,5.1,0.0,95.0,2,9,4.88,5.2,4.90,6.18,5.88,8.0,27,4.4,1,22,34,64.7,1,1,7,0,89.5,20,4.5,290,61,4.75,62,5.05,1,3:14
95,ATL,2019-12-22,383,1,135,2,2,173,115,33:07,Sun,15,16,,JAX,W 24-12,32,45,13,71.1,1,2,2.2,4.4,85.8,1,1,2.17,8.5,8.33,6.96,6.80,12.0,24,4.8,0,14,32,43.8,1,3,15,0,71.5,27,5.0,518,73,7.10,59,4.88,2,2:57
96,ATL,2019-12-29,286,1,87,0,1,193,136,36:22,Sun,16,17,@,TAM,W 28-22 (OT),30,51,21,58.8,1,0,2.0,0.0,83.2,6,27,10.53,5.6,5.02,6.00,5.37,9.5,21,6.5,0,13,24,54.2,2,1,8,2,73.8,30,2.9,373,87,4.29,46,7.15,1,3:13
97,ATL,2020-09-13,434,2,72,1,2,299,84,29:24,Sun,1,1,,SEA,L 25-38,37,54,17,68.5,2,1,3.7,1.9,98.5,2,16,3.57,8.0,7.75,7.94,7.66,11.7,20,4.2,1,31,35,88.6,4,3,23,0,140.4,21,3.4,506,77,6.57,58,6.60,2,3:07
98,ATL,2020-09-20,267,4,113,0,0,445,125,33:48,Sun,2,2,@,DAL,L 39-40,24,37,13,64.9,4,0,10.8,0.0,122.9,1,6,2.63,7.2,7.03,9.38,9.13,11.1,31,4.0,4,34,49,69.4,1,1,5,0,104.5,34,3.3,380,72,5.28,81,7.04,0,3:34
99,ATL,2020-09-27,227,1,144,2,1,307,130,25:10,Sun,3,3,,CHI,L 26-30,19,38,19,50.0,1,1,2.6,2.6,67.7,2,11,5.00,6.0,5.68,5.32,5.05,11.9,25,5.2,0,29,51,56.9,4,2,9,2,84.4,25,5.8,371,65,5.71,78,5.60,1,3:25
100,ATL,2020-10-05,249,0,78,2,0,315,88,30:22,Mon,4,4,@,GNB,L 16-30,28,39,11,71.8,0,0,0.0,0.0,92.4,4,36,9.30,6.4,5.79,6.38,5.79,8.9,26,3.4,0,27,33,81.8,4,1,12,0,146.0,25,3.1,327,68,4.81,60,6.72,0,2:56
101,ATL,2020-10-11,207,0,166,1,1,313,124,26:55,Sun,5,5,,CAR,L 16-23,21,37,16,56.8,0,1,0.0,2.7,63.6,2,19,5.13,5.6,5.31,4.38,4.15,9.9,27,4.6,0,27,36,75.0,2,0,0,0,119.3,24,6.9,373,63,5.92,63,6.94,1,2:56
102,ATL,2020-10-18,363,4,99,0,1,333,32,40:07,Sun,6,6,@,MIN,W 40-23,30,40,10,75.0,4,0,10.0,0.0,136.6,2,8,4.76,9.1,8.64,11.08,10.55,12.1,13,2.5,0,24,36,66.7,3,1,10,3,89.2,37,2.7,462,79,5.85,50,7.30,1,3:03
103,ATL,2020-10-25,322,1,66,2,1,322,64,30:45,Sun,7,7,,DET,L 22-23,31,42,11,73.8,1,0,2.4,0.0,105.1,2,16,4.55,7.7,7.32,8.14,7.77,10.4,21,3.0,1,25,36,69.4,1,2,18,0,106.5,26,2.5,388,70,5.54,59,6.54,1,3:09
104,ATL,2020-10-29,270,0,131,2,1,157,147,36:30,Thu,8,8,@,CAR,W 25-17,21,30,9,70.0,0,1,0.0,3.3,85.6,2,11,6.25,9.0,8.44,7.50,7.03,12.9,22,6.7,1,16,27,59.3,1,3,22,1,72.6,36,3.6,401,68,5.90,52,5.85,1,3:04
105,ATL,2020-11-08,271,3,92,1,1,302,103,33:27,Sun,9,9,,DEN,W 34-27,25,35,10,71.4,3,1,8.6,2.9,112.1,2,13,5.41,7.7,7.32,8.17,7.73,10.8,22,4.7,1,25,48,52.1,2,1,11,1,76.9,32,2.9,363,69,5.26,71,5.70,1,3:14
106,ATL,2020-11-22,196,0,52,0,2,210,166,26:19,Sun,10,11,@,NOR,L 9-24,19,37,18,51.4,0,2,0.0,5.4,48.5,8,36,17.78,5.3,4.36,2.86,2.36,10.3,36,4.6,3,18,23,78.3,0,3,23,0,104.7,14,3.7,248,59,4.20,62,6.06,2,3:12
107,ATL,2020-11-29,179,2,125,1,1,203,40,34:58,Sun,11,12,,LVR,W 43-6,22,39,17,56.4,2,1,5.1,2.6,75.3,1,6,2.50,4.6,4.48,4.46,4.35,8.1,14,2.9,0,25,39,64.1,0,5,37,1,66.5,32,3.9,304,72,4.22,58,4.19,1,3:30
108,ATL,2020-12-06,262,1,70,0,1,217,207,23:06,Sun,12,13,,NOR,L 16-21,19,39,20,48.7,1,0,2.6,0.0,80.4,3,11,7.14,6.7,6.24,7.23,6.71,13.8,36,5.8,1,27,37,73.0,2,2,15,0,105.3,21,3.3,332,63,5.27,75,5.65,1,3:13
109,ATL,2020-12-13,249,2,70,0,3,240,105,25:45,Sun,13,14,@,LAC,L 17-20,22,33,11,66.7,2,3,6.1,9.1,73.2,2,14,5.71,7.5,7.11,4.67,4.40,11.3,26,4.0,0,36,44,81.8,2,1,3,1,95.1,20,3.5,319,55,5.80,71,4.86,3,2:47
110,ATL,2020-12-20,332,3,37,0,0,365,51,28:11,Sun,14,15,,TAM,L 27-31,34,49,15,69.4,3,0,6.1,0.0,110.6,3,24,5.77,6.8,6.38,8.00,7.54,9.8,18,2.8,2,31,45,68.9,2,3,25,0,108.1,13,2.8,369,65,5.68,66,6.30,0,3:09
111,ATL,2020-12-27,277,2,90,0,1,278,117,33:12,Sun,15,16,@,KAN,L 14-17,27,35,8,77.1,2,0,5.7,0.0,121.1,4,23,10.26,7.9,7.10,9.06,8.13,10.3,21,5.6,0,24,45,53.3,2,0,0,2,68.6,23,3.9,367,62,5.92,66,5.98,1,2:53
112,ATL,2021-01-03,258,2,127,1,2,391,94,33:12,Sun,16,17,@,TAM,L 27-44,29,44,15,65.9,2,0,4.5,0.0,97.3,1,7,2.22,5.9,5.73,6.77,6.62,8.9,22,4.3,1,26,41,63.4,4,1,8,1,117.0,26,4.9,385,71,5.42,64,7.58,2,3:05
113,ATL,2021-09-12,136,0,124,0,0,261,173,28:58,Sun,1,1,,PHI,L 6-32,21,35,14,60.0,0,0,0.0,0.0,71.6,3,28,7.89,3.9,3.58,3.89,3.58,6.5,31,5.6,1,27,35,77.1,3,1,3,0,126.0,26,4.8,260,64,4.06,67,6.48,0,3:08
114,ATL,2021-09-19,293,2,55,1,3,259,82,33:31,Sun,2,2,@,TAM,L 25-48,35,48,13,72.9,2,3,4.2,6.3,76.7,1,7,2.04,6.1,5.98,4.13,4.04,8.4,21,3.9,0,24,36,66.7,5,3,17,0,127.2,20,2.8,348,69,5.04,60,5.68,3,3:10
115,ATL,2021-09-26,227,2,69,0,1,246,100,28:09,Sun,3,3,@,NYG,W 17-14,27,36,9,75.0,2,0,5.6,0.0,111.2,3,16,7.69,6.3,5.82,7.42,6.85,8.4,27,3.7,1,24,35,68.6,0,2,20,0,88.5,20,3.5,296,59,5.02,64,5.41,1,2:59
116,ATL,2021-10-03,275,4,99,0,0,290,122,30:43,Sun,4,4,,WAS,L 30-34,25,42,17,59.5,4,0,9.5,0.0,111.5,1,8,2.33,6.5,6.40,8.45,8.26,11.0,28,4.4,1,23,33,69.7,3,1,0,0,127.1,28,3.5,374,71,5.27,62,6.65,0,3:20
117,ATL,2021-10-10,342,2,108,1,2,166,64,35:54,Sun,5,5,,NYJ,W 27-20,33,46,13,71.7,2,0,4.3,0.0,107.3,0,0,0.00,7.4,7.43,8.30,8.30,10.4,18,3.6,2,19,32,59.4,0,2,26,1,60.2,29,3.7,450,75,6.00,52,4.42,2,2:56
118,ATL,2021-10-24,325,2,72,1,2,281,132,25:22,Sun,6,7,@,MIA,W 30-28,25,40,15,62.5,2,1,5.0,2.5,95.4,1,11,2.44,8.1,7.93,8.00,7.80,13.0,29,4.6,0,32,40,80.0,4,1,10,2,108.4,22,3.3,397,63,6.30,70,5.90,2,3:09
119,ATL,2021-10-31,131,1,82,0,2,129,203,24:37,Sun,7,8,,CAR,L 13-19,20,27,7,74.1,1,2,3.7,7.4,67.8,3,15,10.00,4.9,4.37,2.26,2.03,6.6,47,4.3,1,13,25,52.0,0,0,0,0,66.9,20,4.1,213,50,4.26,72,4.61,2,2:54
120,ATL,2021-11-07,332,2,34,1,0,267,109,27:39,Sun,8,9,@,NOR,W 27-25,23,30,7,76.7,2,0,6.7,0.0,135.8,2,11,6.25,11.1,10.38,12.40,11.63,14.4,25,4.4,1,27,43,62.8,2,1,15,0,95.8,25,1.4,366,57,6.42,69,5.45,0,3:03
121,ATL,2021-11-14,111,0,103,0,3,317,114,22:19,Sun,9,10,@,DAL,L 3-43,10,27,17,37.0,0,3,0.0,11.1,13.6,2,20,6.90,4.1,3.83,-0.89,-0.83,11.1,37,3.1,3,28,35,80.0,2,0,0,0,123.5,24,4.3,214,53,4.04,72,5.99,3,2:56
122,ATL,2021-11-18,125,0,40,0,4,174,134,27:17,Thu,10,11,,NWE,L 0-25,20,32,12,62.5,0,4,0.0,12.5,35.2,4,33,11.11,3.9,3.47,-1.72,-1.53,6.3,30,4.5,0,22,26,84.6,1,3,33,1,91.3,16,2.5,165,52,3.17,59,5.22,4,2:50
123,ATL,2021-11-28,183,1,149,2,1,216,141,30:52,Sun,11,12,@,JAX,W 21-14,19,29,10,65.5,1,1,3.4,3.4,81.1,1,7,3.33,6.3,6.10,5.45,5.27,9.6,28,5.0,0,23,42,54.8,1,1,12,1,67.2,29,5.1,332,59,5.63,71,5.03,1,2:55
124,ATL,2021-12-05,259,0,121,1,1,368,57,32:46,Sun,12,13,,TAM,L 17-30,30,41,11,73.2,0,0,0.0,0.0,93.2,5,38,10.87,6.3,5.63,6.32,5.63,8.6,17,3.4,0,38,51,74.5,4,0,0,1,112.2,23,5.3,380,69,5.51,68,6.25,1,3:03
125,ATL,2021-12-12,190,1,128,1,1,243,91,34:37,Sun,13,14,@,CAR,W 29-21,19,28,9,67.9,1,0,3.6,0.0,98.8,0,0,0.00,6.8,6.79,7.50,7.50,10.0,26,3.5,2,21,35,60.0,1,1,10,2,66.7,36,3.6,318,64,4.97,62,5.39,1,2:55
126,ATL,2021-12-19,213,1,62,0,1,235,162,29:33,Sun,14,15,@,SFO,L 13-31,19,32,13,59.4,1,0,3.1,0.0,92.7,3,23,8.57,6.7,6.09,7.28,6.66,11.2,32,5.1,3,18,24,75.0,1,0,0,0,119.3,23,2.7,275,58,4.74,56,7.09,1,2:51
127,ATL,2021-12-26,207,1,47,1,1,208,130,21:55,Sun,15,16,,DET,W 20-16,18,24,6,75.0,1,0,4.2,0.0,115.8,3,8,11.11,8.6,7.67,9.46,8.41,11.5,33,3.9,0,25,35,71.4,1,0,0,1,84.0,18,2.6,254,45,5.64,68,4.97,1,2:41
128,ATL,2022-01-02,169,0,96,1,1,118,233,23:53,Sun,16,17,@,BUF,L 15-29,13,23,10,56.5,0,0,0.0,0.0,84.9,5,28,17.86,7.3,6.04,7.35,6.04,13.0,44,5.3,4,11,26,42.3,0,1,2,3,16.7,22,4.4,265,50,5.30,71,4.94,1,3:04
129,ATL,2022-01-09,195,1,62,1,3,174,195,20:43,Sun,17,18,,NOR,L 20-30,20,33,13,60.6,1,1,3.0,3.0,77.3,3,21,8.33,5.9,5.42,5.15,4.72,9.8,46,4.2,0,16,24,66.7,3,1,4,0,127.4,12,5.2,257,48,5.35,71,5.20,3,2:59
130,ATL,2022-09-11,215,0,201,2,2,234,151,33:44,Sun,1,1,,NOR,L 26-27,20,33,13,60.6,0,0,0.0,0.0,79.7,0,0,0.00,6.5,6.52,6.52,6.52,10.8,19,7.9,1,23,34,67.6,2,4,35,0,106.7,38,5.3,416,71,5.86,57,6.75,2,3:07
131,ATL,2022-09-18,171,2,90,0,3,272,65,29:36,Sun,2,2,@,LAR,L 27-31,17,26,9,65.4,2,2,7.7,7.7,81.6,3,25,10.34,6.6,5.90,4.65,4.17,10.1,26,2.5,1,27,36,75.0,3,1,0,2,100.7,27,3.3,261,56,4.66,63,5.35,3,2:56
132,ATL,2022-09-25,207,1,179,2,2,308,112,28:14,Sun,3,3,@,SEA,W 27-23,13,20,7,65.0,1,1,5.0,5.0,99.8,3,22,13.04,10.4,9.00,9.10,7.91,15.9,23,4.9,0,32,44,72.7,2,2,17,1,97.5,31,5.8,386,54,7.15,69,6.09,2,2:53
133,ATL,2022-10-02,131,0,202,2,1,226,177,24:16,Sun,4,4,,CLE,W 23-20,7,19,12,36.8,0,1,0.0,5.3,41.3,1,8,5.00,6.9,6.55,4.53,4.30,18.7,35,5.1,2,21,35,60.0,0,1,8,1,67.1,35,5.8,333,55,6.05,71,5.68,1,2:47
134,ATL,2022-10-09,110,1,151,1,0,351,69,30:34,Sun,5,5,@,TAM,L 15-21,14,25,11,56.0,1,0,4.0,0.0,86.6,5,37,16.67,4.4,3.67,5.20,4.33,7.9,23,3.0,1,35,52,67.3,1,0,0,0,92.7,31,4.9,261,61,4.28,75,5.60,0,3:04
135,ATL,2022-10-16,121,2,168,1,0,296,50,33:25,Sun,6,6,,SFO,W 28-14,13,14,1,92.9,2,0,14.3,0.0,144.6,2,8,12.50,8.6,7.56,11.50,10.06,9.3,16,3.1,0,29,41,70.7,2,0,0,2,87.0,40,4.2,289,56,5.16,57,6.07,0,2:51
136,ATL,2022-10-23,107,1,107,1,0,459,78,26:55,Sun,7,7,@,CIN,L 17-35,8,13,5,61.5,1,0,7.7,0.0,118.7,3,17,18.75,8.2,6.69,9.77,7.94,13.4,21,3.7,2,34,42,81.0,3,3,22,0,136.0,29,3.7,214,45,4.76,66,8.14,0,2:49
137,ATL,2022-10-30,239,3,167,0,2,309,169,36:34,Sun,8,8,,CAR,W 37-34 (OT),20,28,8,71.4,3,2,10.7,7.1,105.2,2,14,6.67,8.5,7.97,7.46,6.97,12.0,36,4.7,3,19,36,52.8,1,1,8,1,79.5,37,4.5,406,67,6.06,73,6.55,2,3:39
138,ATL,2022-11-06,114,0,201,2,2,245,91,31:49,Sun,9,9,,LAC,L 17-20,12,23,11,52.2,0,0,0.0,0.0,68.9,2,15,8.00,5.0,4.56,4.96,4.56,9.5,24,3.8,1,30,43,69.8,1,0,0,1,82.0,35,5.7,315,60,5.25,67,5.01,2,2:55
139,ATL,2022-11-10,153,2,138,0,1,101,232,25:48,Thu,10,10,@,CAR,L 15-25,19,30,11,63.3,2,1,6.7,3.3,89.0,5,33,14.29,5.1,4.37,4.93,4.23,8.1,47,4.9,2,10,16,62.5,0,1,7,0,80.5,25,5.5,291,60,4.85,64,5.20,1,3:00
140,ATL,2022-11-20,131,1,149,1,2,128,160,24:50,Sun,11,11,,CHI,W 27-24,13,20,7,65.0,1,0,5.0,0.0,100.2,0,0,0.00,6.6,6.55,7.55,7.55,10.1,41,3.9,2,14,21,66.7,1,4,25,1,79.1,33,4.5,280,53,5.28,66,4.36,2,2:57
141,ATL,2022-11-27,165,1,167,0,1,138,176,26:51,Sun,12,12,@,WAS,L 13-19,15,25,10,60.0,1,1,4.0,4.0,77.7,1,9,3.85,6.6,6.35,5.60,5.38,11.0,37,4.8,0,14,23,60.9,2,0,0,1,88.7,29,5.8,332,55,6.04,60,5.23,1,2:47
142,ATL,2022-12-04,160,1,146,0,1,197,154,27:05,Sun,13,13,,PIT,L 16-19,13,24,11,54.2,1,1,4.2,4.2,72.7,1,7,4.00,6.7,6.40,5.63,5.40,12.3,37,4.2,0,16,28,57.1,1,0,0,0,90.9,28,5.2,306,53,5.77,65,5.40,1,2:52
143,ATL,2022-12-18,89,0,231,2,1,214,134,30:56,Sun,14,15,@,NOR,L 18-21,13,26,13,50.0,0,0,0.0,0.0,59.3,4,8,13.33,3.4,2.97,3.42,2.97,6.8,34,3.9,0,13,19,68.4,3,2,17,0,145.6,39,5.9,320,69,4.64,55,6.33,1,2:52
144,ATL,2022-12-24,212,0,115,0,1,115,184,32:44,Sat,15,16,@,BAL,L 9-17,22,33,11,66.7,0,0,0.0,0.0,85.2,2,6,5.71,6.4,6.06,6.42,6.06,9.6,34,5.4,0,9,17,52.9,1,0,0,0,94.0,33,3.5,327,68,4.81,51,5.86,1,2:57
145,ATL,2023-01-01,166,0,132,2,1,213,126,32:24,Sun,16,17,,ARI,W 20-19,19,26,7,73.1,0,0,0.0,0.0,90.1,1,3,3.70,6.4,6.15,6.38,6.15,8.7,27,4.7,0,24,40,60.0,1,2,9,0,82.6,34,3.9,298,61,4.89,69,4.91,1,2:56
146,ATL,2023-01-08,208,2,174,1,1,136,86,34:49,Sun,17,18,,TAM,W 30-17,19,30,11,63.3,2,0,6.7,0.0,108.2,2,16,6.25,6.9,6.50,8.27,7.75,10.9,20,4.3,0,22,34,64.7,2,0,0,0,92.3,35,5.0,382,67,5.70,54,4.11,1,2:50
147,ATL,2023-09-10,91,1,130,2,0,127,154,25:19,Sun,1,1,,CAR,W 24-10,15,18,3,83.3,1,0,5.6,0.0,111.8,4,24,18.18,5.1,4.14,6.17,5.05,6.1,32,4.8,0,20,38,52.6,1,2,19,2,46.7,26,5.0,221,48,4.60,72,3.90,0,3:06
148,ATL,2023-09-17,235,1,211,1,1,140,84,36:15,Sun,2,2,,GNB,W 25-24,19,32,13,59.4,1,1,3.1,3.1,79.8,1,2,3.03,7.3,7.12,6.56,6.36,12.4,21,4.0,0,14,25,56.0,3,1,11,0,111.7,45,4.7,446,78,5.72,47,4.77,1,3:13
149,ATL,2023-09-24,139,0,44,0,1,243,115,27:03,Sun,3,3,@,DET,L 6-20,21,38,17,55.3,0,0,0.0,0.0,70.2,7,62,15.56,3.7,3.09,3.66,3.09,6.6,31,3.7,1,22,33,66.7,1,0,0,1,85.8,20,2.2,183,65,2.82,64,5.59,1,2:54
150,ATL,2023-10-01,160,1,127,0,3,195,105,27:09,Sun,4,4,@,JAX,L 7-23,19,31,12,61.3,1,2,3.2,6.5,62.7,4,31,11.43,5.2,4.57,2.90,2.57,8.4,32,3.3,0,23,30,76.7,1,2,12,0,104.2,22,5.8,287,57,5.04,64,4.69,3,2:43
151,ATL,2023-10-08,351,1,96,1,2,249,64,35:32,Sun,5,5,,HOU,W 21-19,29,38,9,76.3,1,0,2.6,0.0,112.9,0,0,0.00,9.2,9.24,9.76,9.76,12.1,23,2.8,0,20,35,57.1,1,0,0,0,88.9,36,2.7,447,74,6.04,58,5.40,2,3:00
152,ATL,2023-10-15,296,2,106,0,3,121,72,36:23,Sun,6,6,,WAS,L 16-24,28,47,19,59.6,2,3,4.3,6.4,66.5,3,11,6.00,6.3,5.92,4.28,4.02,10.6,22,3.3,0,14,23,60.9,3,5,30,0,114.3,29,3.7,402,79,5.09,50,3.86,3,2:52
153,ATL,2023-10-22,245,0,156,1,3,256,73,29:59,Sun,7,7,@,TAM,W 16-13,19,25,6,76.0,0,0,0.0,0.0,107.1,1,5,3.85,9.8,9.42,9.80,9.42,12.9,20,3.7,0,27,42,64.3,1,3,19,1,79.1,38,4.1,401,64,6.27,65,5.06,3,3:03
154,ATL,2023-10-29,202,1,140,1,1,226,149,27:01,Sun,8,8,@,TEN,L 23-28,20,34,14,58.8,1,0,2.9,0.0,91.1,6,44,15.00,5.9,5.05,6.53,5.55,10.1,36,4.1,0,19,29,65.5,4,2,12,0,128.7,26,5.4,342,66,5.18,67,5.60,1,3:12
155,ATL,2023-11-05,260,1,110,1,2,217,146,28:28,Sun,9,9,,MIN,L 28-31,21,38,17,55.3,1,1,2.6,2.6,75.3,1,8,2.56,6.8,6.67,6.18,6.03,12.4,33,4.4,1,25,36,69.4,2,4,19,0,103.6,28,3.9,370,67,5.52,73,4.97,2,3:15
156,ATL,2023-11-12,70,1,184,2,0,230,122,31:42,Sun,10,10,@,ARI,L 23-25,12,21,9,57.1,1,0,4.8,0.0,84.2,3,24,12.50,3.3,2.92,4.29,3.75,5.8,26,4.7,2,19,32,59.4,0,2,19,1,68.5,41,4.5,254,65,3.91,60,5.87,0,3:02
157,ATL,2023-11-26,168,1,228,1,2,296,148,28:26,Sun,11,12,,NOR,W 24-15,13,21,8,61.9,1,2,4.8,9.5,63.3,0,0,0.00,8.0,8.00,4.67,4.67,12.9,28,5.3,0,24,38,63.2,0,1,8,1,76.2,41,5.6,396,62,6.39,67,6.63,2,2:53
158,ATL,2023-12-03,104,1,90,0,0,197,62,29:34,Sun,12,13,@,NYJ,W 13-8,12,27,15,44.4,1,0,3.7,0.0,70.1,3,17,10.00,3.9,3.47,4.59,4.13,8.7,25,2.5,0,19,38,50.0,0,4,17,1,54.4,34,2.6,194,64,3.03,67,3.87,0,3:20
159,ATL,2023-12-10,338,1,96,2,1,142,148,28:20,Sun,13,14,,TAM,L 25-29,26,40,14,65.0,1,1,2.5,2.5,90.3,3,9,6.98,8.5,7.86,7.83,7.28,13.0,37,4.0,1,14,29,48.3,2,1,2,0,85.7,26,3.7,434,69,6.29,67,4.33,1,3:02
160,ATL,2023-12-17,152,1,52,0,2,154,129,26:04,Sun,14,15,@,CAR,L 7-9,12,20,8,60.0,1,1,5.0,5.0,79.6,0,0,0.00,7.6,7.60,6.35,6.35,12.7,36,3.6,0,18,24,75.0,0,3,13,0,91.3,31,1.7,204,51,4.00,63,4.49,2,2:45
161,ATL,2023-12-24,229,1,177,1,0,170,92,29:24,Sun,15,16,,IND,W 29-10,23,33,10,69.7,1,0,3.0,0.0,99.2,1,0,2.94,6.9,6.74,7.55,7.32,10.0,25,3.7,1,20,37,54.1,0,6,31,1,55.0,30,5.9,406,64,6.34,68,3.85,0,2:57
162,ATL,2023-12-31,173,1,134,1,4,240,192,22:46,Sun,16,17,@,CHI,L 17-37,13,33,20,39.4,1,4,3.0,12.1,28.2,2,7,5.71,5.2,4.94,0.39,0.37,13.3,37,5.2,3,20,32,62.5,1,3,28,0,95.8,24,5.6,307,59,5.20,72,6.00,4,3:15
163,ATL,2024-01-07,311,2,78,0,3,246,154,26:10,Sun,17,18,@,NOR,L 17-48,25,34,9,73.5,2,2,5.9,5.9,97.4,1,7,2.86,9.1,8.89,7.68,7.46,12.4,35,4.4,2,22,28,78.6,4,3,18,0,142.9,25,3.1,389,60,6.48,66,6.06,3,3:02
