Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
149,WAS,2023-09-24,125,0,105,0,5,218,168,25:21,Sun,3,3,,BUF,L 3-37,19,29,10,65.5,0,4,0.0,13.8,41.5,9,45,23.68,4.3,3.29,-1.9,-1.45,6.6,33,5.1,2,20,32,62.5,1,0,0,1,79.9,13,230,51,4.51,65,5.94,5,2:54
150,WAS,2023-10-01,258,1,107,2,0,311,104,35:07,Sun,4,4,@,PHI,L 31-34 (OT),29,41,12,70.7,1,0,2.4,0.0,98.6,5,32,10.87,6.3,5.61,6.78,6.04,8.9,27,3.9,1,25,37,67.6,2,3,8,0,111.4,28,365,74,4.93,67,6.19,0,3:33
151,WAS,2023-10-05,359,2,29,0,2,273,178,29:56,Thu,5,5,,CHI,L 20-40,37,51,14,72.5,2,1,3.9,2.0,99.1,5,29,8.93,7.0,6.41,6.94,6.32,9.7,32,5.6,0,15,29,51.7,4,3,9,0,124.0,10,388,66,5.88,64,7.05,2,3:04
152,WAS,2023-10-15,121,3,72,0,0,296,106,23:37,Sun,6,6,@,ATL,W 24-16,14,23,9,60.9,3,0,13.0,0.0,119.7,5,30,17.86,5.3,4.32,7.87,6.46,8.6,29,3.7,0,28,47,59.6,2,3,11,3,65.6,22,193,50,3.86,79,5.09,0,2:52
153,WAS,2023-10-22,197,0,76,1,1,250,106,31:14,Sun,7,7,@,NYG,L 7-14,22,42,20,52.4,0,1,0.0,2.4,60.5,6,52,12.5,4.7,4.1,3.62,3.17,9.0,32,3.3,0,18,29,62.1,2,4,29,0,112.7,19,273,67,4.07,65,5.48,1,3:10
154,WAS,2023-10-29,388,4,84,0,1,315,59,31:29,Sun,8,8,,PHI,L 31-38,39,52,13,75.0,4,1,7.7,1.9,114.0,1,9,1.89,7.5,7.32,8.13,7.98,9.9,22,2.7,1,29,38,76.3,4,2,4,0,135.3,16,472,69,6.84,62,6.03,1,3:14
155,WAS,2023-11-05,308,1,124,1,2,220,107,37:10,Sun,9,9,@,NWE,W 20-17,29,45,16,64.4,1,1,2.2,2.2,84.0,3,17,6.25,6.8,6.42,6.29,5.9,10.6,19,5.6,1,24,44,54.5,1,0,0,1,66.5,29,432,77,5.61,63,5.19,2,3:04
156,WAS,2023-11-12,288,3,68,0,1,369,120,29:33,Sun,10,10,@,SEA,L 26-29,29,44,15,65.9,3,0,6.8,0.0,109.3,3,24,6.38,6.5,6.13,7.91,7.4,9.9,26,4.6,0,31,47,66.0,2,1,0,0,103.9,14,356,61,5.84,74,6.61,1,3:11
157,WAS,2023-11-19,230,1,174,1,6,201,91,34:51,Sun,11,11,,NYG,L 19-31,31,45,14,68.9,1,3,2.2,6.7,62.8,4,26,8.16,5.1,4.69,2.56,2.35,7.4,19,4.8,0,18,26,69.2,3,9,45,0,130.4,28,404,77,5.25,54,5.41,6,3:08
158,WAS,2023-11-23,268,0,108,1,1,331,100,36:54,Thu,12,12,@,DAL,L 10-45,28,44,16,63.6,0,1,0.0,2.3,74.1,4,32,8.33,6.1,5.58,5.07,4.65,9.6,18,5.6,1,22,32,68.8,4,0,0,0,142.1,27,376,75,5.01,50,8.62,1,3:07
159,WAS,2023-12-03,107,0,138,2,1,283,123,27:44,Sun,13,13,,MIA,L 15-45,12,23,11,52.2,0,1,0.0,4.3,50.5,3,20,11.54,4.7,4.12,2.7,2.38,8.9,34,3.6,3,19,25,76.0,2,0,0,0,139.2,28,245,54,4.54,59,6.88,1,2:50
160,WAS,2023-12-17,218,3,79,0,1,249,196,24:07,Sun,14,15,@,LAR,L 20-28,19,36,17,52.8,3,1,8.3,2.8,88.4,1,8,2.7,6.1,5.89,6.47,6.3,11.5,37,5.3,1,25,33,75.8,2,3,9,0,116.9,21,297,58,5.12,73,6.1,1,3:08
161,WAS,2023-12-24,143,1,102,3,3,217,164,23:44,Sun,15,16,@,NYJ,L 28-30,16,35,19,45.7,1,2,2.9,5.7,44.5,1,13,2.78,4.1,3.97,2.09,2.03,8.9,36,4.6,2,27,49,55.1,1,0,0,1,64.8,22,245,58,4.22,85,4.48,3,3:30
162,WAS,2023-12-31,163,1,62,0,2,224,184,21:47,Sun,16,17,,SFO,L 10-27,17,28,11,60.7,1,2,3.6,7.1,60.0,1,6,3.45,5.8,5.62,3.32,3.21,9.6,39,4.7,1,22,28,78.6,2,1,6,0,123.8,14,225,43,5.23,68,6.0,2,2:44
163,WAS,2024-01-07,130,1,50,0,3,309,131,26:05,Sun,17,18,,DAL,L 10-38,20,28,8,71.4,1,2,3.6,7.1,67.1,4,27,12.5,4.6,4.06,2.14,1.88,6.5,29,4.5,1,34,40,85.0,4,0,0,1,121.8,17,180,49,3.67,69,6.38,3,2:44
