Home Team Name,Away Team Name,Winner,Home Team Total Yards,Away Team Total Yards,Home Team Turnovers,Away Team Turnovers
Pittsburgh Steelers,Arizona Cardinals,0,317,282,1,0
Tampa Bay Buccaneers,Carolina Panthers,1,322,282,1,1
Los Angeles Rams,Cleveland Browns,1,399,327,0,1
Philadelphia Eagles,San Francisco 49ers,0,333,456,0,0
Green Bay Packers,Kansas City Chiefs,1,382,337,0,1
Jacksonville Jaguars,Cincinnati Bengals,0,376,491,0,1
Pittsburgh Steelers,New England Patriots,0,264,303,1,1
Atlanta Falcons,Tampa Bay Buccaneers,0,434,290,1,0
New Orleans Saints,Carolina Panthers,1,207,303,1,2
Chicago Bears,Detroit Lions,1,336,267,0,3
Cincinnati Bengals,Indianapolis Colts,1,385,272,1,2
Cleveland Browns,Jacksonville Jaguars,1,389,293,3,4
New York Jets,Houston Texans,1,347,135,1,0
Baltimore Ravens,Los Angeles Rams,1,449,410,1,0
Las Vegas Raiders,Minnesota Vikings,0,202,231,3,0
San Francisco 49ers,Seattle Seahawks,1,527,324,2,2
Kansas City Chiefs,Buffalo Bills,0,346,327,2,1
Los Angeles Chargers,Denver Broncos,0,283,322,2,1
Dallas Cowboys,Philadelphia Eagles,1,394,324,1,3
New York Giants,Green Bay Packers,1,367,326,2,3
Miami Dolphins,Tennessee Titans,0,366,403,1,3
Las Vegas Raiders,Los Angeles Chargers,1,378,326,0,5
Cincinnati Bengals,Minnesota Vikings,1,378,424,1,2
Indianapolis Colts,Pittsburgh Steelers,1,372,216,0,3
Detroit Lions,Denver Broncos,1,448,287,0,1
Carolina Panthers,Atlanta Falcons,1,283,204,0,2
Cleveland Browns,Chicago Bears,1,377,236,3,3
Green Bay Packers,Tampa Bay Buccaneers,0,321,452,1,1
Tennessee Titans,Houston Texans,0,204,340,1,1
New England Patriots,Kansas City Chiefs,0,206,326,1,2
Miami Dolphins,New York Jets,1,290,103,0,4
New Orleans Saints,New York Giants,1,296,193,0,0
Arizona Cardinals,San Francisco 49ers,0,436,406,2,0
Los Angeles Rams,Washington Commanders,1,445,297,2,1
Buffalo Bills,Dallas Cowboys,1,351,195,0,1
Jacksonville Jaguars,Baltimore Ravens,0,333,396,2,1
Seattle Seahawks,Philadelphia Eagles,1,297,321,0,2
Los Angeles Rams,New Orleans Saints,1,458,339,0,1
Pittsburgh Steelers,Cincinnati Bengals,1,397,368,0,3
Los Angeles Chargers,Buffalo Bills,0,273,335,0,3
Atlanta Falcons,Indianapolis Colts,1,406,262,0,1
Carolina Panthers,Green Bay Packers,0,394,369,0,0
Houston Texans,Cleveland Browns,0,250,418,2,2
Minnesota Vikings,Detroit Lions,0,390,389,4,1
New York Jets,Washington Commanders,1,381,245,2,3
Tennessee Titans,Seattle Seahawks,0,287,273,0,0
Tampa Bay Buccaneers,Jacksonville Jaguars,1,335,305,0,4
Chicago Bears,Arizona Cardinals,1,420,306,1,0
Miami Dolphins,Dallas Cowboys,1,375,339,0,1
Denver Broncos,New England Patriots,0,276,289,2,1
Kansas City Chiefs,Las Vegas Raiders,0,308,205,2,0
Philadelphia Eagles,New York Giants,1,465,292,2,1
San Francisco 49ers,Baltimore Ravens,0,429,343,5,0
Cleveland Browns,New York Jets,1,428,360,3,2
Dallas Cowboys,Detroit Lions,1,384,420,2,2
Chicago Bears,Atlanta Falcons,1,432,307,0,4
Buffalo Bills,New England Patriots,1,281,294,1,4
Jacksonville Jaguars,Carolina Panthers,1,317,124,0,1
Indianapolis Colts,Las Vegas Raiders,1,349,370,0,0
Philadelphia Eagles,Arizona Cardinals,0,275,449,1,1
Houston Texans,Tennessee Titans,1,312,187,0,1
Baltimore Ravens,Miami Dolphins,1,491,375,1,3
Tampa Bay Buccaneers,New Orleans Saints,0,349,310,4,0
New York Giants,Los Angeles Rams,0,389,391,1,3
Washington Commanders,San Francisco 49ers,0,225,408,2,0
Seattle Seahawks,Pittsburgh Steelers,0,369,468,1,0
Kansas City Chiefs,Cincinnati Bengals,1,373,263,1,0
Denver Broncos,Los Angeles Chargers,1,313,301,0,1
Minnesota Vikings,Green Bay Packers,0,211,470,2,1
Baltimore Ravens,Pittsburgh Steelers,0,224,289,2,2
Indianapolis Colts,Houston Texans,0,360,306,1,0
New Orleans Saints,Atlanta Falcons,1,400,389,0,3
Carolina Panthers,Tampa Bay Buccaneers,0,199,228,2,0
Cincinnati Bengals,Cleveland Browns,1,328,244,1,2
Detroit Lions,Minnesota Vikings,1,381,448,0,2
Tennessee Titans,Jacksonville Jaguars,1,327,362,1,2
New England Patriots,New York Jets,0,119,254,2,1
Green Bay Packers,Chicago Bears,1,432,192,1,0
Arizona Cardinals,Seattle Seahawks,0,466,327,0,0
Washington Commanders,Dallas Cowboys,0,180,440,3,1
Las Vegas Raiders,Denver Broncos,1,359,286,0,1
Los Angeles Chargers,Kansas City Chiefs,0,353,268,1,1
New York Giants,Philadelphia Eagles,1,415,299,1,4
San Francisco 49ers,Los Angeles Rams,0,300,258,1,1
Miami Dolphins,Buffalo Bills,0,275,473,2,3
