Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
113,GNB,2021-09-12,186,0,43,0,3,151,171,25:24,Sun,1,1,@,NOR,L 3-38,20,35,15,57.1,0,2,0.0,5.7,49.8,2,15,5.41,5.3,5.03,2.74,2.59,9.3,39,4.4,0,15,21,71.4,5,0,0,0,131.2,15,229,52,4.4,60,5.37,3,2:51
114,GNB,2021-09-20,227,4,96,1,0,236,108,33:25,Mon,2,2,,DET,W 35-17,22,27,5,81.5,4,0,14.8,0.0,145.6,3,28,10.0,8.4,7.57,11.37,10.23,10.3,19,5.7,0,26,36,72.2,2,1,10,1,96.5,31,323,61,5.3,56,6.14,0,2:55
115,GNB,2021-09-26,253,2,100,1,0,231,67,30:08,Sun,3,3,@,SFO,W 30-28,23,33,10,69.7,2,0,6.1,0.0,113.3,1,8,2.94,7.7,7.44,8.88,8.62,11.0,21,3.2,2,25,40,62.5,2,4,26,1,84.5,25,353,59,5.98,65,4.58,0,3:08
116,GNB,2021-10-03,236,2,131,1,1,220,62,34:41,Sun,4,4,,PIT,W 27-17,20,36,16,55.6,2,0,5.6,0.0,95.6,3,12,7.69,6.6,6.05,7.67,7.08,11.8,16,3.9,1,26,40,65.0,1,2,12,1,77.1,33,367,72,5.1,58,4.86,1,3:03
117,GNB,2021-10-10,333,2,133,0,1,264,103,33:59,Sun,5,5,@,CIN,W 25-22 (OT),27,39,12,69.2,2,1,5.1,2.6,102.9,2,11,4.88,8.5,8.12,8.41,8.0,12.3,24,4.3,1,26,38,68.4,2,3,17,2,83.7,22,466,63,7.4,65,5.65,1,3:22
118,GNB,2021-10-17,169,2,154,1,0,137,140,32:17,Sun,6,6,@,CHI,W 24-14,17,23,6,73.9,2,0,8.7,0.0,128.0,3,26,11.54,7.3,6.5,9.09,8.04,9.9,26,5.4,1,16,27,59.3,1,4,37,1,69.5,31,323,57,5.67,57,4.86,0,3:01
119,GNB,2021-10-24,247,3,57,0,1,235,195,27:06,Sun,7,7,,WAS,W 24-10,27,35,8,77.1,3,0,8.6,0.0,127.6,3,27,7.89,7.1,6.5,8.77,8.08,9.1,29,6.7,0,25,37,67.6,1,4,33,1,82.6,15,304,53,5.74,70,6.14,1,3:07
120,GNB,2021-10-28,184,2,151,1,0,260,74,37:35,Thu,8,8,@,ARI,W 24-21,22,37,15,59.5,2,0,5.4,0.0,90.4,1,0,2.63,5.0,4.84,6.05,5.89,8.4,20,3.7,3,22,33,66.7,0,2,14,2,65.2,34,335,72,4.65,55,6.07,0,3:12
121,GNB,2021-11-07,179,1,122,0,2,160,77,31:33,Sun,9,9,@,KAN,L 7-13,19,34,15,55.9,1,1,2.9,2.9,69.5,1,11,2.86,5.3,5.11,4.53,4.4,9.4,25,3.1,0,20,37,54.1,1,1,6,0,74.2,25,301,60,5.02,63,3.76,2,3:06
122,GNB,2021-11-14,287,0,106,2,1,133,75,39:09,Sun,10,10,,SEA,W 17-0,23,37,14,62.2,0,1,0.0,2.7,75.5,1,5,2.63,7.8,7.55,6.54,6.37,12.5,16,4.7,0,20,40,50.0,0,3,28,2,36.8,32,393,70,5.61,59,3.53,1,3:03
123,GNB,2021-11-21,372,4,95,0,0,318,90,28:59,Sun,11,11,@,MIN,L 31-34,23,33,10,69.7,4,0,12.1,0.0,148.4,2,13,5.71,11.3,10.63,13.7,12.91,16.2,29,3.1,1,24,35,68.6,3,2,23,0,125.7,19,467,54,8.65,66,6.18,0,2:58
124,GNB,2021-11-28,307,2,92,1,1,285,68,39:40,Sun,12,12,,LAR,W 36-28,28,45,17,62.2,2,0,4.4,0.0,97.2,1,0,2.17,6.8,6.67,7.71,7.54,11.0,20,3.4,0,21,39,53.8,3,2,17,1,92.4,32,399,78,5.12,61,5.79,1,3:19
125,GNB,2021-12-12,320,4,119,1,0,210,137,35:00,Sun,13,14,,CHI,W 45-30,29,37,8,78.4,4,0,10.8,0.0,141.1,3,21,7.5,8.6,8.0,10.81,10.0,11.0,23,6.0,0,18,33,54.5,2,2,14,2,69.0,24,439,64,6.86,58,5.98,0,3:16
