Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
11,KAN,2014-11-20,217,2,96,0,0,172,179,29:56,Thu,11,12,@,LVR,L 20-24,20,36,16,55.6,2,0,5.6,0.0,94.0,2,17,5.26,6.0,5.71,7.14,6.76,10.9,30,6.0,2,18,35,51.4,1,1,2,0,74.9,24,313,62,5.05,66,5.32,0,3:12
12,KAN,2014-11-30,110,2,41,0,3,174,214,21:13,Sun,12,13,,DEN,L 16-29,15,23,8,65.2,2,1,8.7,4.3,95.0,6,43,20.69,4.8,3.79,4.57,3.62,7.3,45,4.8,0,17,34,50.0,2,1,5,0,84.7,15,151,44,3.43,80,4.85,3,3:05
13,KAN,2014-12-07,264,1,126,1,2,225,141,29:59,Sun,13,14,@,ARI,L 14-17,26,39,13,66.7,1,1,2.6,2.6,86.8,5,29,11.36,6.8,6.0,6.13,5.43,10.2,33,4.3,0,15,30,50.0,1,2,14,0,86.1,17,390,61,6.39,65,5.63,2,3:10
14,KAN,2014-12-14,295,2,93,1,1,202,78,30:00,Sun,14,15,,LVR,W 31-13,18,31,13,58.1,2,0,6.5,0.0,111.9,1,2,3.13,9.5,9.22,10.81,10.47,16.4,17,4.6,0,27,56,48.2,1,4,20,0,63.2,27,388,59,6.58,77,3.64,1,3:24
15,KAN,2014-12-21,288,0,39,0,1,214,68,31:07,Sun,15,16,@,PIT,L 12-20,32,46,14,69.6,0,0,0.0,0.0,88.8,6,29,11.54,6.3,5.54,6.26,5.54,9.0,26,2.6,1,18,25,72.0,1,1,6,0,111.1,14,327,66,4.95,52,5.42,1,3:01
16,KAN,2014-12-28,140,0,111,0,0,249,112,28:39,Sun,16,17,,LAC,W 19-7,16,27,11,59.3,0,0,0.0,0.0,75.7,4,17,12.9,5.2,4.52,5.19,4.52,8.8,25,4.5,1,20,34,58.8,0,7,42,2,57.1,26,251,57,4.4,66,5.47,0,3:04
17,KAN,2015-09-13,233,3,97,0,0,298,98,35:19,Sun,1,1,@,HOU,W 27-20,22,33,11,66.7,3,0,9.1,0.0,118.6,2,10,5.71,7.1,6.66,8.88,8.37,10.6,21,4.7,0,26,47,55.3,2,5,36,1,79.9,32,330,67,4.93,73,5.42,0,3:16
18,KAN,2015-09-17,167,0,147,2,5,238,61,28:59,Thu,2,2,,DEN,L 24-31,16,25,9,64.0,0,2,0.0,8.0,53.9,5,24,16.67,6.7,5.57,3.08,2.57,10.4,22,2.8,0,26,45,57.8,3,3,18,1,85.2,28,314,58,5.41,70,4.27,5,3:23
19,KAN,2015-09-28,251,1,75,3,1,325,123,26:30,Mon,3,3,@,GNB,L 28-38,24,40,16,60.0,1,1,2.5,2.5,80.2,7,39,14.89,6.3,5.34,5.65,4.81,10.5,32,3.8,0,24,35,68.6,5,1,8,0,137.5,18,326,65,5.02,68,6.59,1,3:27
20,KAN,2015-10-04,348,0,113,0,1,321,124,36:53,Sun,4,4,@,CIN,L 21-36,31,45,14,68.9,0,0,0.0,0.0,95.2,5,38,10.0,7.7,6.96,7.73,6.96,11.2,26,4.8,4,17,24,70.8,1,0,0,0,127.1,23,461,73,6.32,50,8.9,1,3:17
21,KAN,2015-10-11,170,1,117,0,0,241,87,26:23,Sun,5,5,,CHI,L 17-18,16,30,14,53.3,1,0,3.3,0.0,82.8,3,11,9.09,5.7,5.15,6.33,5.76,10.6,26,3.3,0,26,45,57.8,2,2,11,0,87.4,25,287,58,4.95,73,4.49,0,3:14
22,KAN,2015-10-18,271,1,57,0,1,237,84,26:53,Sun,6,6,@,MIN,L 10-16,22,37,15,59.5,1,0,2.7,0.0,92.4,2,11,5.13,7.3,6.95,7.86,7.46,12.3,35,2.4,0,17,31,54.8,1,2,12,2,63.5,18,328,57,5.75,68,4.72,1,3:02
23,KAN,2015-10-25,239,1,138,1,0,192,147,32:26,Sun,7,7,,PIT,W 23-13,21,32,11,65.6,1,0,3.1,0.0,99.9,2,12,5.88,7.5,7.03,8.09,7.62,11.4,24,6.1,0,16,29,55.2,1,2,17,2,58.4,29,377,63,5.98,55,6.16,0,2:54
24,KAN,2015-11-01,134,2,206,4,0,195,81,34:14,Sun,8,8,,DET,W 45-10,20,28,8,71.4,2,0,7.1,0.0,107.6,3,15,9.68,4.8,4.32,6.21,5.61,6.7,14,5.8,0,23,38,60.5,1,6,32,2,60.7,32,340,63,5.4,58,4.76,0,2:59
