Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
78,HOU,2018-12-15,239,2,47,0,0,228,90,24:56,Sat,14,15,@,NYJ,W 29-22,22,28,6,78.6,2,0,7.1,0.0,134.2,6,55,17.65,8.5,7.03,9.96,8.21,10.9,31,2.9,1,24,38,63.2,2,3,25,0,97.3,17,286,51,5.61,72,4.42,0,3:09
79,HOU,2018-12-23,309,2,62,2,1,462,57,26:15,Sun,15,16,@,PHI,L 30-32,29,40,11,72.5,2,0,5.0,0.0,114.5,4,30,9.09,7.7,7.02,8.73,7.93,10.7,22,2.6,0,35,50,70.0,4,1,9,1,117.2,19,371,63,5.89,73,7.11,1,3:17
80,HOU,2018-12-30,208,0,134,2,1,89,30,35:07,Sun,16,17,,JAX,W 20-3,25,35,10,71.4,0,0,0.0,0.0,89.5,6,26,14.63,5.9,5.07,5.94,5.07,8.3,16,1.9,0,15,28,53.6,0,3,18,1,45.1,33,342,74,4.62,47,2.53,1,2:53
81,HOU,2019-09-09,234,3,180,1,1,362,148,29:47,Mon,1,1,@,NOR,L 28-30,20,30,10,66.7,3,1,10.0,3.3,114.3,6,34,16.67,7.8,6.5,8.3,6.92,11.7,21,7.0,1,32,43,74.4,2,1,8,1,105.0,23,414,59,7.02,65,7.85,1,3:14
82,HOU,2019-09-15,137,0,126,1,0,178,103,29:59,Sun,2,2,,JAX,W 13-12,16,29,13,55.2,0,0,0.0,0.0,70.9,4,22,12.12,4.7,4.15,4.72,4.15,8.6,21,4.9,0,23,33,69.7,1,4,35,0,92.7,30,263,63,4.17,58,4.84,0,3:04
83,HOU,2019-09-22,337,3,39,1,1,293,73,28:12,Sun,3,3,@,LAC,W 27-20,25,34,9,73.5,3,0,8.8,0.0,135.8,2,14,5.56,9.9,9.36,11.68,11.03,13.5,18,4.1,0,31,46,67.4,2,5,25,0,99.3,19,376,55,6.84,69,5.3,1,3:17
84,HOU,2019-09-29,128,0,136,1,2,203,94,29:22,Sun,4,4,,CAR,L 10-16,21,34,13,61.8,0,1,0.0,2.9,60.9,6,32,15.0,3.8,3.2,2.44,2.08,6.1,28,3.4,1,24,34,70.6,0,3,29,0,85.8,22,264,62,4.26,65,4.57,2,3:06
85,HOU,2019-10-06,426,5,166,1,1,316,57,31:00,Sun,5,5,,ATL,W 53-32,28,33,5,84.8,5,0,15.2,0.0,158.3,0,0,0.0,12.9,12.91,15.94,15.94,15.2,20,2.9,1,32,46,69.6,3,2,14,1,101.4,34,592,67,8.84,68,5.49,1,3:13
86,HOU,2019-10-13,280,1,192,3,3,256,53,39:48,Sun,6,6,@,KAN,W 31-24,30,42,12,71.4,1,2,2.4,4.8,77.5,0,0,0.0,6.7,6.67,5.0,5.0,9.3,11,4.8,0,19,35,54.3,3,1,17,1,94.5,41,472,83,5.69,47,6.57,3,3:07
87,HOU,2019-10-20,291,1,100,1,2,321,62,27:08,Sun,7,7,@,IND,L 23-30,23,34,11,67.6,1,2,2.9,5.9,81.5,3,17,8.11,8.6,7.86,6.5,5.97,12.7,26,2.4,0,26,40,65.0,4,1,5,0,123.0,24,391,61,6.41,67,5.72,2,3:10
